train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
2,True,1614.79,117.461,1497.329,False,0.943596,0.807185,0.82467,12000,0,0,False,0.5066666666666667,0.004714045207910321,0.5,0.51,1.12476,0.8749313333333334,1.1343966666666667,0.0,0.47,0.016329931618554512,0.45,0.49,1.2268466666666666,1.025931,1.4183566666666667,0.0,True,True,True,0.0,0.0,1.0,0.0001824215,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
3,True,10908.5,2880.39,8028.110000000001,False,2.67317,4.76485,6.92604,12000,0,0,False,0.1,0.01632993161855452,0.08,0.12,1.8901833333333333,2.6924366666666666,5.074463333333333,0.0,0.04,0.008164965809277261,0.03,0.05,2.250163333333333,3.4928033333333333,5.74316,0.0,False,False,False,0.0,0.0,1.0,0.0001637275,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
6,True,5999.68,1261.32,4738.360000000001,False,3.19169,2.13409,1.75873,12000,0,0,False,0.026666666666666665,0.012472191289246471,0.01,0.04,2.52265,2.7136533333333333,2.3410333333333333,0.0,0.02666666666666667,0.020548046676563257,0.0,0.05,2.6843866666666667,2.897483333333333,2.46914,0.0,False,False,False,0.118652,0.01625,1.0,8.424205e-05,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
7,True,3030.59,137.231,2893.3590000000004,False,0.900499,0.860907,1.13265,12000,0,0,False,0.5166666666666667,0.018856180831641284,0.49,0.53,1.0566666666666666,0.6218986666666666,0.6428096666666667,0.0,0.49,0.014142135623730963,0.48,0.51,1.0932533333333334,0.6191989999999999,0.755887,0.0,True,True,True,0.0,0.0,1.0,0.00017570649999999998,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
9,True,5486.16,1475.06,4011.1,False,2.66489,4.1445,2.49027,12000,0,0,False,0.006666666666666667,0.009428090415820633,0.0,0.02,2.2897666666666665,3.88087,3.50375,0.0,0.0033333333333333335,0.004714045207910317,0.0,0.01,2.4846233333333334,4.137433333333333,3.4481466666666667,0.0,False,False,False,0.0,0.0,1.0,0.000134128,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
