seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
6,failed,H128_easy,2500,1500,3999,1153.56,518.422,480.769,-0.2692240896358543,1.91522,1.83305,1.53708,1.16614,0.579027,3.75369,134934.5,1.0,0.0001482205,7630.4400000000005,0.0,1.0,0.511135,0.123305,0.5115165,0.0,0.0169897,0.1737705,0.019544325923617302,0.008100614535293971,0.0065881649025548135,0.37300404602816306,0.30556317569051406,0.12843619374686877,0.0,0.02666666666666667,0.02666666666666667
6,failed,H128_medium,2000,4000,5999,274.389,1507.97,6449.84,3.0892701350675336,1.365935,1.22841,6.230790000000001,4.22681,8.73747,6.98282,221397.5,1.0,9.033534999999999e-05,11149.05,0.0,1.0,0.6473085000000001,0.170253,0.647645,0.0151367,0.01849825,0.202576,0.005126006916883287,0.0027170306554775564,0.018788839782476183,0.1025321006912872,0.06894551783522476,0.694275109404698,0.0,0.02666666666666667,0.02666666666666667
6,failed,H128_full,6000,6000,11999,6714.41,1708.41,1261.32,-0.9089998333055509,2.864615,3.4474150000000003,3.225675,3.19169,2.13409,1.75873,405115.0,1.0,4.93687e-05,20588.9,0.0,1.0,0.908469,0.1344015,0.9085505,0.351562,0.009654255,0.251042,0.01390108296367534,0.008885755652253382,0.013597961102753253,0.2665311017764196,0.3487079052390766,0.1824615706132569,0.0,0.02666666666666667,0.02666666666666667
7,success_control,H16_easy,500,0,499,3030.59,411.18949999999995,137.323,-5.7981302605210425,0.1658615,1.087635,3.3453749999999998,0.250732,1.07548,1.35121,4154.16,1.0,0.00481495,727.6435,0.0,1.0,-0.06312670000000001,0.121265,0.112677,0.0,0.009467105,0.0420074,0.0004323821654763502,0.0017262721391733766,0.022273118940215865,0.0035375098326613794,0.11479316351443467,0.8162778043549398,0.75,0.5166666666666667,0.49
7,success_control,H32_easy,500,500,999,227.906,234.6295,222.002,-0.011831663326653299,0.3950675,2.0181649999999998,0.9504165,0.316234,1.98719,0.651293,2472.37,1.0,0.008089605,287.256,0.0,1.0,0.018356400000000002,0.0761676,0.06540119999999999,0.0,0.00782995,0.05531095,0.0023862697339762564,0.010100423454889658,0.019031386643231882,0.034541982568004934,0.7199531433538413,0.1128227223305791,0.5,0.5166666666666667,0.49
7,success_control,H64_easy,500,1000,1499,587.082,530.4985,310.661,-0.5539498997995992,1.16869,3.1990100000000004,0.9398285,0.930029,2.48637,0.576131,7974.51,1.0,0.0025080049999999998,805.5875000000001,0.0,1.0,0.14704,0.0760505,0.152684,0.0,0.006742835,0.07796539999999999,0.005547265393480974,0.011418202337426495,0.00424010915810223,0.12465034273324035,0.7738161948056381,0.05073837746356946,0.0,0.5166666666666667,0.49
7,success_control,H128_easy,2500,1500,3999,1177.96,860.819,3085.36,0.763265306122449,2.09937,2.27338,2.764015,2.53095,5.38733,5.71599,113190.0,1.0,0.000176694,6449.135,0.0,1.0,0.495244,0.121864,0.49536199999999997,0.0,0.01404595,0.1737395,0.014797185750201544,0.006265134440806201,0.010157823716317151,0.2900323556483605,0.26517830722213664,0.3432691173536605,0.0,0.5166666666666667,0.49
7,success_control,H128_medium,2000,4000,5999,3568.98,744.298,797.548,-1.386409204602301,2.2888349999999997,2.32791,1.6443699999999999,2.24302,2.24828,1.47565,226728.0,1.0,8.821170000000001e-05,12911.1,0.0,1.0,0.603942,0.0979874,0.6039950000000001,0.0,0.007257905,0.210318,0.021954085427943484,0.00983717067453645,0.008214575564672637,0.3976953658790562,0.3592256595815121,0.11650381387002773,0.0,0.5166666666666667,0.49
7,success_control,H128_full,6000,6000,11999,598.681,202.14,137.231,-0.07692115352558761,1.2316099999999999,0.7546515,1.05363,0.900499,0.860907,1.13265,118535.0,1.0,0.0001687265,5326.325000000001,0.0,1.0,0.6835525,0.09847555,0.6836015,0.0,0.00730184,0.24403799999999998,0.03852823224278215,0.012282914219252712,0.022203229031749948,0.4559799547492907,0.1495199121482953,0.16546473886096838,0.5,0.5166666666666667,0.49
9,failed,H16_easy,500,0,499,5486.16,355.70550000000003,75.247,-10.843513026052102,0.16021200000000002,1.03625,3.039565,0.127428,0.984429,0.822052,5321.375,1.0,0.00375843,707.1659999999999,0.0,1.0,0.01755645,0.111979,0.0927813,0.0,0.009788914999999999,0.05961835,0.0005182740943190352,0.001792070746326787,0.026021781873967635,0.0037026948187758478,0.11970010698512384,0.7975947010917455,0.75,0.006666666666666667,0.0033333333333333335
9,failed,H32_easy,500,500,999,165.575,265.7215,224.343,0.11777154308617234,0.39721700000000004,2.01539,1.28566,0.427225,2.00157,0.784321,4235.014999999999,1.0,0.004722545,458.27250000000004,0.0,1.0,0.03214795,0.06378415,0.05950805,0.0,0.00648638,0.06049595,0.002205165227821321,0.00881174936626749,0.019820179270540476,0.03034610864035342,0.6446267660024756,0.17819569142467623,0.5,0.006666666666666667,0.0033333333333333335
9,failed,H64_easy,500,1000,1499,646.294,599.5654999999999,468.354,-0.3565931863727455,1.221185,3.43845,0.9454095,1.11578,3.02545,0.844107,7513.175,1.0,0.0026619950000000003,744.52,0.0,1.0,0.0871174,0.05956655,0.09556400000000001,0.0,0.00541902,0.06983685,0.005170614198430622,0.011184571422370315,0.0047458844017928175,0.11986579350463616,0.7906952536396227,0.0428818477618627,0.0,0.006666666666666667,0.0033333333333333335
9,failed,H128_easy,2500,1500,3999,2426.91,1151.2199999999998,1840.99,-0.23446178471388548,2.9176149999999996,3.610475,1.1373449999999998,2.57774,2.67458,4.94426,80942.35,1.0,0.0002470895,5238.360000000001,0.0,1.0,0.3571215,0.0986574,0.357885,0.0,0.0106528,0.140618,0.015653468242448426,0.008455818503063482,0.003184004250770555,0.36714524347457883,0.5004113644240259,0.03216679647099904,0.0,0.006666666666666667,0.0033333333333333335
9,failed,H128_medium,2000,4000,5999,2113.62,1825.26,8626.95,3.258294147073537,2.630745,3.7868199999999996,3.398535,5.31724,10.9146,5.79946,223919.5,1.0,8.9318e-05,13078.25,0.0,1.0,0.5599130000000001,0.1089695,0.5599215,0.0,0.007807725,0.183248,0.009991634882826436,0.006684020626695222,0.009977670756017878,0.2384893322702849,0.40156285243984535,0.2027883935937289,0.0,0.006666666666666667,0.0033333333333333335
9,failed,H128_full,6000,6000,11999,3116.91,417.1785,1475.06,-0.2736872812135356,1.6525349999999999,1.3629600000000002,1.74358,2.66489,4.1445,2.49027,225901.5,1.0,8.853415e-05,10162.3,0.0,1.0,0.6845995,0.0955844,0.6846114999999999,0.0,0.0064941949999999995,0.21211200000000002,0.024673437656403365,0.009595473382715106,0.014713468151770853,0.34573713432628406,0.2369658688556651,0.20699440371323002,0.25,0.006666666666666667,0.0033333333333333335
