step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip
11000,0.134096,0.75,0,0.900384,4.49308,4.49308
11100,0.182973,1,0,0.34864,3.87501,3.87501
11200,0.0525031,0.75,0,0.211499,0.164295,0.164295
11300,0.0602211,1,0,0.677247,0.778907,0.778907
11400,0.0583303,0.75,0,0.219947,0.542733,0.542733
11500,0.126808,1,0,0.553063,6.02359,6.02359
11600,0.0392795,1,0,0.585364,0.191148,0.191148
11700,0.137463,0.75,0,1.28696,3.42763,3.42763
11800,0.0801236,1,0,0.311783,0.594776,0.594776
11900,0.184641,1,0,0.985963,2.95041,2.95041
12000,0.0694573,0.75,0,0.333436,0.497381,0.497381
12100,0.0588684,1,0,0.329302,0.46627,0.46627
12200,0.134426,0.5,0,0.485678,2.35048,2.35048
12300,0.078694,1,0,0.228303,1.63101,1.63101
12400,0.0648337,1,0,0.870793,0.622865,0.622865
12500,0.0678562,1,0,0.287053,0.478432,0.478432
12600,0.115152,1,0,0.795713,1.80533,1.80533
12700,0.140985,1,0,0.453737,3.44203,3.44203
12800,0.0560501,1,0,0.232709,0.187611,0.187611
12900,0.0802399,0.75,0,0.459561,0.842921,0.842921
13000,0.0664057,0.75,0,0.131984,0.676014,0.676014
13100,0.290673,0.5,0,0.708665,6.22014,6.22014
13200,0.0623927,1,0,0.468372,0.498292,0.498292
13300,0.114919,0.25,0,0.534061,1.44134,1.44134
13400,0.0666932,1,0,0.379904,0.593575,0.593575
13500,0.147897,0.75,0,1.16617,2.59363,2.59363
13600,0.0397493,1,0,0.428954,0.42401,0.42401
13700,0.0654416,0.75,0,0.307659,0.398448,0.398448
13800,0.0748264,1,0,0.63467,0.974377,0.974377
13900,0.145332,1,0,0.374712,6.19442,6.19442
14000,0.123418,0.75,0,0.325055,1.93304,1.93304
14100,0.0477207,1,0,0.168277,0.386166,0.386166
14200,0.0928209,1,0,0.633965,2.36625,2.36625
14300,0.11132,1,0,0.332768,3.35999,3.35999
14400,0.0297513,1,0,0.145273,0.170116,0.170116
14500,0.0664212,1,0,0.730396,0.855245,0.855245
14600,0.042867,1,0,0.227068,0.45942,0.45942
14700,0.133914,1,0,0.503132,3.4185,3.4185
14800,0.0442342,1,0,0.360366,0.219236,0.219236
14900,0.0609675,1,0,0.496726,1.23632,1.23632
15000,0.0455928,1,0,0.280758,0.53119,0.53119
15100,0.132401,0.75,0,0.871538,2.02159,2.02159
15200,0.0408529,1,0,0.333708,0.149262,0.149262
15300,0.053175,1,0,0.155081,0.318467,0.318467
15400,0.101915,1,0,0.501587,2.97405,2.97405
15500,0.103099,1,0,0.236876,2.3167,2.3167
15600,0.0500619,1,0,0.405566,0.337274,0.337274
15700,0.0512469,1,0,0.439165,0.457587,0.457587
15800,0.11222,1,0,0.958988,1.90567,1.90567
15900,0.091251,1,0,0.25309,0.729541,0.729541
16000,0.0275908,1,0,0.143293,0.192719,0.192719
16100,0.0733412,0.75,0,0.506849,0.934618,0.934618
16200,0.0673249,0.75,0,0.0735176,0.381561,0.381561
16300,0.094538,1,0,0.244759,1.99164,1.99164
16400,0.0582948,0.5,0,0.2635,0.127829,0.127829
16500,0.0861635,1,0,0.932214,2.1929,2.1929
16600,0.104313,0.75,0,0.345953,1.6271,1.6271
16700,0.111982,0.75,0,0.929584,0.620166,0.620166
16800,0.0591016,1,0,0.359932,0.325177,0.325177
16900,0.0478339,0.75,0,0.203972,0.137127,0.137127
17000,0.0515131,1,0,0.498773,0.543604,0.543604
17100,0.0652502,0.75,0,0.183933,0.82807,0.82807
17200,0.0420456,1,0,0.19712,0.119867,0.119867
17300,0.0497517,0.75,0,0.304278,0.399792,0.399792
