step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,32,0.0492431,0.0114608,0.377823,0.1,0.0377823,0.018404,1.4819e-11,0.018404,1090.2,0.0761696,0.528809,0,0.201864,0.486445,0.0331111,true
1,32,0.0636653,0.0181032,0.45562,0.1,0.045562,-0.000993474,2.42177e-13,-0.000993474,1197.19,0.221467,0.487549,0,0.212237,0.562856,0.0332543,true
2,32,0.0376804,0.0086845,0.289959,0.1,0.0289959,0.0197991,1.45971e-11,0.0197991,955.055,0.104236,0.747538,0,0.199005,0.348191,0.0365496,true
3,32,0.040386,0.0110424,0.293436,0.1,0.0293436,0.0272954,-1.39074e-11,0.0272954,960.765,0.199707,0.5354,0,0.198413,0.410011,0.0410147,true
4,32,0.0492979,0.0114632,0.378347,0.1,0.0378347,0.01864,-2.47605e-11,0.01864,1090.95,0.0742255,0.532247,0,0.20255,0.486294,0.0331834,true
5,32,0.0636267,0.0181132,0.455134,0.1,0.0455134,-0.0011262,-7.83658e-12,-0.0011262,1196.55,0.219698,0.486552,0,0.212283,0.562817,0.0331376,true
6,32,0.0375025,0.00867061,0.288319,0.1,0.0288319,0.0195409,-2.75209e-12,0.0195409,952.351,0.105413,0.747437,0,0.198717,0.347843,0.0363331,true
7,32,0.0402777,0.0110313,0.292464,0.1,0.0292464,0.0270342,2.96197e-11,0.0270342,959.172,0.197985,0.534851,0,0.198371,0.410195,0.0410601,true
8,32,0.0494435,0.0114685,0.37975,0.1,0.037975,0.0184985,2.34979e-13,0.0184985,1092.97,0.0711099,0.529846,0,0.201811,0.486544,0.0333339,true
9,32,0.0635924,0.0180801,0.455123,0.1,0.0455123,-0.00121777,2.48948e-11,-0.00121777,1196.53,0.21865,0.487834,0,0.212658,0.562742,0.0331509,true
10,32,0.0375093,0.00864235,0.288669,0.1,0.0288669,0.0195478,-3.7725e-12,0.0195478,952.93,0.105632,0.747457,0,0.199137,0.346404,0.0365203,true
11,32,0.0402224,0.0109953,0.292271,0.1,0.0292271,0.0271169,1.03712e-11,0.0271169,958.855,0.199799,0.536967,0,0.198411,0.408944,0.0411318,true
12,32,0.0493262,0.0114413,0.378848,0.1,0.0378848,0.0179991,-1.39909e-11,0.0179991,1091.67,0.0727533,0.5354,0,0.20225,0.485738,0.0331604,true
13,32,0.0636222,0.01808,0.455422,0.1,0.0455422,-0.00224297,-5.23215e-11,-0.00224297,1196.93,0.218397,0.487956,0,0.212298,0.562733,0.0331741,true
14,32,0.0375741,0.0086702,0.289039,0.1,0.0289039,0.0176069,-5.1588e-11,0.0176069,953.54,0.102652,0.747131,0,0.198977,0.346884,0.0366979,true
15,32,0.0401118,0.010984,0.291278,0.1,0.0291278,0.0261975,7.274e-13,0.0261975,957.226,0.198084,0.536031,0,0.198353,0.408882,0.0409853,true
16,32,0.0494123,0.0114843,0.37928,0.1,0.037928,0.017182,-1.02724e-11,0.017182,1092.3,0.0732417,0.52773,0,0.202357,0.486863,0.033351,true
17,32,0.0636251,0.0180735,0.455516,0.1,0.0455516,-0.00258875,-9.75442e-12,-0.00258875,1197.05,0.218179,0.487834,0,0.212228,0.562599,0.033147,true
18,32,0.0375621,0.008646,0.289161,0.1,0.0289161,0.0178237,6.37372e-12,0.0178237,953.741,0.102309,0.747416,0,0.198728,0.346777,0.0365279,true
19,32,0.0401033,0.0109577,0.291456,0.1,0.0291456,0.0258249,-2.72048e-11,0.0258249,957.518,0.196069,0.537028,0,0.198325,0.408808,0.0411991,true
20,32,0.0493826,0.0114278,0.379548,0.1,0.0379548,0.0174443,-5.23564e-11,0.0174443,1092.68,0.0721971,0.532756,0,0.202033,0.485536,0.0332113,true
21,32,0.0636593,0.0180891,0.455702,0.1,0.0455702,-0.00261801,-3.05928e-11,-0.00261801,1197.3,0.22001,0.488607,0,0.212591,0.562497,0.0330894,true
22,32,0.0374723,0.00862946,0.288428,0.1,0.0288428,0.0173233,-2.41062e-11,0.0173233,952.532,0.103125,0.74766,0,0.19875,0.346475,0.036752,true
23,32,0.040182,0.0109844,0.291976,0.1,0.0291976,0.0251874,-1.01143e-11,0.0251874,958.371,0.195483,0.537272,0,0.198572,0.409121,0.0413366,true
24,32,0.049368,0.011457,0.37911,0.1,0.037911,0.0165329,5.9624e-12,0.0165329,1092.05,0.0728821,0.528605,0,0.201971,0.486237,0.0333865,true
25,32,0.0637342,0.0180854,0.456488,0.1,0.0456488,-0.00306787,1.41143e-11,-0.00306787,1198.33,0.219398,0.487345,0,0.212531,0.562583,0.0331488,true
26,32,0.0375087,0.00860876,0.289,0.1,0.0289,0.0171755,-1.49633e-11,0.0171755,953.475,0.102324,0.747782,0,0.198752,0.345404,0.0366373,true
27,32,0.0401782,0.0109729,0.292053,0.1,0.0292053,0.0253994,-2.15441e-11,0.0253994,958.499,0.196827,0.537598,0,0.198882,0.408787,0.0412991,true
28,32,0.0494536,0.0114252,0.380283,0.1,0.0380283,0.0167755,-9.08303e-12,0.0167755,1093.74,0.0714929,0.531372,0,0.201554,0.48557,0.0333967,true
29,32,0.0635898,0.0180388,0.45551,0.1,0.045551,-0.00281143,-7.35319e-12,-0.00281143,1197.04,0.216855,0.487406,0,0.212644,0.561778,0.0332118,true
30,32,0.0374359,0.00860666,0.288292,0.1,0.0288292,0.0171208,-7.65641e-11,0.0171208,952.307,0.104184,0.747437,0,0.199029,0.344901,0.0366684,true
31,32,0.0400547,0.0109622,0.290925,0.1,0.0290925,0.0244438,-1.1926e-11,0.0244438,956.645,0.195,0.536601,0,0.198369,0.408653,0.0414335,true
32,32,0.0492009,0.0113606,0.378403,0.1,0.0378403,0.0168599,-8.68348e-12,0.0168599,1091.03,0.0689706,0.537455,0,0.201529,0.484083,0.0332786,true
33,32,0.0637175,0.0180805,0.456371,0.1,0.0456371,-0.00392603,2.85248e-11,-0.00392603,1198.17,0.220582,0.488627,0,0.212502,0.562231,0.0332199,true
34,32,0.0373942,0.00858564,0.288086,0.1,0.0288086,0.0171679,-6.93567e-12,0.0171679,951.966,0.103923,0.747864,0,0.198967,0.34456,0.0365786,true
35,32,0.0400757,0.0109867,0.29089,0.1,0.0290889,0.0243888,4.21718e-12,0.0243888,956.587,0.196333,0.537313,0,0.19834,0.408877,0.0414431,true
36,32,0.0493381,0.0114123,0.379258,0.1,0.0379258,0.0161167,-2.49141e-11,0.0161167,1092.26,0.0695687,0.533834,0,0.201109,0.485369,0.0334331,true
37,32,0.0634795,0.0179811,0.454985,0.1,0.0454985,-0.00368154,3.6643e-11,-0.00368154,1196.35,0.217204,0.489075,0,0.21245,0.560685,0.0332306,true
