eval_seed,sample,step,time_s,p_norm,v_norm,angle_error,omega_norm,action_0,action_1,action_2,action_3,motor_0,motor_1,motor_2,motor_3
10000,0,0,0.0,1.2959816455841064,0.4673188030719757,0.36261555552482605,1.2058309316635132,-0.03594861924648285,-0.006932820659130812,-0.04969591647386551,-0.06325787305831909,-0.0059914360754191875,-0.0011554700322449207,-0.008282652124762535,-0.010542978532612324
10000,1,0,0.0,0.6658509373664856,0.18079259991645813,0.21872597932815552,0.5544462203979492,-0.07271946221590042,-0.04227655753493309,-0.028135862201452255,-0.03611375391483307,-0.01211990974843502,-0.007046092301607132,-0.00468931021168828,-0.006018958520144224
10000,2,0,0.0,1.0973021984100342,0.7844250202178955,0.40183237195014954,0.7555117011070251,-0.06532002985477448,-0.0547870509326458,-0.024263935163617134,-0.017889734357595444,-0.010886671021580696,-0.00913117453455925,-0.004043988883495331,-0.002981622237712145
10000,3,0,0.0,1.107517957687378,0.5197160243988037,0.38535523414611816,1.1370022296905518,0.030107073485851288,-0.028039729222655296,0.04475269839167595,0.027942948043346405,0.0050178454257547855,-0.004673287738114595,0.007458782754838467,0.004657157696783543
10000,4,0,0.0,1.0234262943267822,0.4512534737586975,0.1599888652563095,1.2410873174667358,0.03567580506205559,0.05573100969195366,-0.03410343825817108,-0.03790481761097908,0.005945967044681311,0.009288500994443893,-0.00568390591070056,-0.0063174692913889885
10000,0,1,0.01,1.2958152294158936,0.4578571319580078,0.3689790666103363,1.188926339149475,-0.05970829725265503,-0.0149720823392272,-0.08510258793830872,-0.10973460972309113,-0.014944246038794518,-0.0034582384396344423,-0.02108597382903099,-0.027074916288256645
10000,1,1,0.01,0.6668340563774109,0.18818587064743042,0.2197817862033844,0.586776614189148,-0.12511242926120758,-0.0769643485546112,-0.054273806512355804,-0.07138396799564362,-0.03095199540257454,-0.01869913563132286,-0.01295339222997427,-0.016913125291466713
10000,2,1,0.01,1.089678168296814,0.785462498664856,0.4022992253303528,0.7381473779678345,-0.10897395759820938,-0.09512101858854294,-0.047395698726177216,-0.037925317883491516,-0.027234550565481186,-0.023462815210223198,-0.011269273236393929,-0.008805571123957634
10000,3,1,0.01,1.1116936206817627,0.5006247162818909,0.39575088024139404,1.1353861093521118,0.08633102476596832,-0.008675973862409592,0.10198419541120529,0.0774594098329544,0.01857004128396511,-0.005340402014553547,0.023213017731904984,0.01679086498916149
10000,4,1,0.01,1.0265047550201416,0.4443104863166809,0.1489706188440323,1.1707961559295654,0.06717012822628021,0.10752816498279572,-0.044359102845191956,-0.05378474295139313,0.016149993985891342,0.025661775842308998,-0.012129771523177624,-0.014228681102395058
10000,0,2,0.02,1.2953366041183472,0.4522208571434021,0.3757551312446594,1.1545305252075195,-0.0743630975484848,-0.021226685494184494,-0.10309351980686188,-0.1331131011247635,-0.02484738640487194,-0.0064196460880339146,-0.03475389629602432,-0.04474794492125511
10000,1,2,0.02,0.6677460670471191,0.1954781711101532,0.2208477258682251,0.6693692803382874,-0.16034145653247833,-0.10514640063047409,-0.07677086442708969,-0.09791959077119827,-0.05251690372824669,-0.03310701251029968,-0.023589637130498886,-0.03041420318186283
10000,2,2,0.02,1.0820378065109253,0.7876958847045898,0.40279534459114075,0.7083777785301208,-0.13553263247013092,-0.12100152671337128,-0.06586098670959473,-0.051473673433065414,-0.04528423026204109,-0.03971926495432854,-0.02036789245903492,-0.015916921198368073
10000,3,2,0.02,1.1157114505767822,0.4819033145904541,0.40573403239250183,1.1354182958602905,0.1537453681230545,0.042409177869558334,0.1622900664806366,0.14245402812957764,0.04109926149249077,0.0026178606785833836,0.0463925264775753,0.03773472458124161
10000,4,2,0.02,1.0294837951660156,0.43767455220222473,0.1401645541191101,1.0190887451171875,0.09504787623882294,0.15147575736045837,-0.028512898832559586,-0.043081898242235184,0.02929963916540146,0.04663076996803284,-0.014860291965305805,-0.019037550315260887
10000,0,3,0.03,1.2945352792739868,0.4507766366004944,0.3830161988735199,1.1299822330474854,-0.08189016580581665,-0.02721233479678631,-0.1103597953915596,-0.13954241573810577,-0.03435451537370682,-0.009885094128549099,-0.04735487699508667,-0.06054702028632164
10000,1,3,0.03,0.6685749888420105,0.2025398313999176,0.22193655371665955,0.8099186420440674,-0.18185631930828094,-0.12650750577449799,-0.0969587191939354,-0.11668787151575089,-0.07407347112894058,-0.048673760145902634,-0.035817816853523254,-0.04479314759373665
10000,2,3,0.03,1.0743703842163086,0.7913467884063721,0.40325334668159485,0.6967405676841736,-0.1489933729171753,-0.13699811697006226,-0.0823235735297203,-0.060838207602500916,-0.06256908923387527,-0.05593240633606911,-0.030693838372826576,-0.023403801023960114
10000,3,3,0.03,1.1195487976074219,0.4628048241138458,0.4149878919124603,1.1532889604568481,0.22147849202156067,0.11282414197921753,0.21666574478149414,0.20751039683818817,0.07116246223449707,0.020985573530197144,0.07477139681577682,0.06603066623210907
10000,4,3,0.03,1.0323666334152222,0.4307841658592224,0.1350404918193817,0.8898990750312805,0.11919320374727249,0.1861363649368286,0.0042176079005002975,-0.015128393657505512,0.04428189992904663,0.06988169997930527,-0.011680642142891884,-0.018386024981737137
10000,0,4,0.04,1.2934008836746216,0.45357444882392883,0.39084726572036743,1.159192442893982,-0.08313659578561783,-0.032667871564626694,-0.11125269532203674,-0.13385258615016937,-0.04248486086726189,-0.013682222925126553,-0.05800451338291168,-0.07276461273431778
10000,1,4,0.04,0.6693074107170105,0.2093566656112671,0.2231871336698532,1.0041053295135498,-0.19356174767017365,-0.1425202190876007,-0.11581380665302277,-0.13095806539058685,-0.09398818016052246,-0.0643148347735405,-0.049150481820106506,-0.0591539666056633
10000,2,4,0.04,1.0666640996932983,0.7965340614318848,0.4036216735839844,0.7486339211463928,-0.15278054773807526,-0.14573904871940613,-0.09782043844461441,-0.06860554963350296,-0.07760433107614517,-0.07090017944574356,-0.04188160598278046,-0.030937425792217255
10000,3,4,0.04,1.123174786567688,0.4426957666873932,0.423231840133667,1.2079567909240723,0.2656068801879883,0.16718260943889618,0.24896597862243652,0.24861028790473938,0.1035698652267456,0.04535174369812012,0.10380382090806961,0.09646060317754745
10000,4,4,0.04,1.0351516008377075,0.42296791076660156,0.13510233163833618,1.010825753211975,0.1361161470413208,0.21105076372623444,0.047877050936222076,0.02200159803032875,0.05958760529756546,0.09340987354516983,-0.0017543608555570245,-0.011654755100607872
10000,0,5,0.05,1.2919228076934814,0.46043500304222107,0.3993464410305023,1.2728830575942993,-0.08077309280633926,-0.03819241747260094,-0.10886525362730026,-0.12168778479099274,-0.04886623099446297,-0.017767254263162613,-0.06648129969835281,-0.08091847598552704
10000,1,5,0.05,0.6699287295341492,0.21599650382995605,0.2248784899711609,1.2382233142852783,-0.1983829140663147,-0.15375669300556183,-0.13326628506183624,-0.14272251725196838,-0.11138730496168137,-0.07922180742025375,-0.06316978484392166,-0.07308205962181091
10000,2,5,0.05,1.058906078338623,0.8033198714256287,0.4038975238800049,0.8874607086181641,-0.15034587681293488,-0.1476374864578247,-0.11182791739702225,-0.07617064565420151,-0.08972792327404022,-0.08368972688913345,-0.053539324551820755,-0.03847629576921463
10000,3,5,0.05,1.1265546083450317,0.42165103554725647,0.4302753806114197,1.308552622795105,0.2933478057384491,0.2097616344690323,0.2700675129890442,0.27534380555152893,0.13519951701164246,0.07275339215993881,0.13151443004608154,0.1262744665145874
10000,4,5,0.05,1.0378303527832031,0.413554310798645,0.1417170614004135,1.443496823310852,0.15230301022529602,0.22860364615917206,0.09967096149921417,0.06867056339979172,0.07504016906023026,0.11594216525554657,0.015149857848882675,0.001732797478325665
10000,0,6,0.06,1.2900904417037964,0.4710609018802643,0.4086289405822754,1.465976595878601,-0.07660729438066483,-0.04330826923251152,-0.10262493789196014,-0.10412254929542542,-0.05348974093794823,-0.022024089470505714,-0.07250523567199707,-0.0847858190536499
