train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
1,True,1513.71,280.534,1233.176,False,0.802157,0.57375,2.71325,6000,0,0,False,0.5033333333333333,0.03299831645537225,0.48,0.55,1.0566866666666668,0.6880346666666667,1.93536,0.0,0.35333333333333333,0.02357022603955158,0.32,0.37,1.1374,0.961125,4.11084,0.0,True,True,True,0.0,0.0,1.0,0.00360986,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
2,True,1614.79,763.155,851.635,False,2.22597,2.97118,1.51907,6000,0,0,False,0.006666666666666667,0.004714045207910317,0.0,0.01,2.6829833333333335,3.2909533333333334,2.0795700000000004,0.0,0.0033333333333333335,0.004714045207910317,0.0,0.01,2.8120133333333333,3.5886366666666665,2.69588,0.0,False,False,False,0.0,0.0,1.0,0.00112042,False,False,TYPE_G_OBJECTIVE_MISMATCH,loss decreased but both evaluation success rates remain below baseline
3,True,10908.5,301.275,10607.225,False,1.02046,0.475823,2.62171,6000,0,0,False,0.3233333333333333,0.052493385826745405,0.25,0.37,1.4374500000000001,1.35689,3.85874,0.0,0.14,0.01414213562373095,0.13,0.16,1.74049,2.11662,5.279046666666667,0.0,True,True,True,0.0,0.0,1.0,0.0020647850000000004,False,False,PASS_WEAK,beats both baselines but misses strong-pass threshold
4,True,2817.89,3136.94,-319.0500000000002,True,3.04838,5.19665,5.33746,6000,0,0,False,0.11333333333333333,0.004714045207910315,0.11,0.12,2.67285,4.66795,6.9622633333333335,0.0,0.07666666666666666,0.012472191289246471,0.06,0.09,3.0991733333333333,5.6323,8.149576666666666,0.0,True,False,False,0.0,0.0,1.0,0.00222279,True,False,TYPE_F_EULER_TO_L2F_TRANSFER_MISMATCH,Euler beats baseline but L2F does not
6,True,5999.68,1905.85,4093.8300000000004,False,1.5316,2.25275,6.99423,6000,0,0,False,0.11333333333333333,0.01699673171197595,0.09,0.13,1.1900233333333332,1.8507833333333332,7.355923333333333,0.0,0.03333333333333333,0.01699673171197595,0.01,0.05,1.4508433333333333,2.5101133333333334,8.278536666666668,0.0,True,False,False,0.0,0.0,1.0,0.00185302,False,False,TYPE_F_EULER_TO_L2F_TRANSFER_MISMATCH,Euler beats baseline but L2F does not
7,True,3030.59,940.167,2090.4230000000002,False,2.41905,2.97611,2.3049,6000,0,0,False,0.02666666666666667,0.020548046676563257,0.0,0.05,2.92521,4.46872,3.55097,0.0,0.006666666666666667,0.004714045207910317,0.0,0.01,3.3468633333333333,5.252296666666667,3.814573333333333,0.0,False,False,False,0.0,0.0,1.0,0.002306055,False,False,TYPE_G_OBJECTIVE_MISMATCH,loss decreased but both evaluation success rates remain below baseline
9,True,5486.16,1427.74,4058.42,False,3.36623,3.43224,2.56562,6000,0,0,False,0.060000000000000005,0.02160246899469287,0.03,0.08,2.4909066666666666,3.17929,2.1132233333333335,0.0,0.043333333333333335,0.009428090415820635,0.03,0.05,2.7045433333333335,3.5317233333333333,2.3610266666666666,0.0,False,False,False,0.0,0.0,1.0,0.00214677,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
