step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
35,64,0.00711616,0.00181022,0.0530594,0.1,0.00530594,0.00839699,1.13117e-11,0.00839699,577.772,0.216469,0.999532,0,0.184995,0.10902,0.0540787,true
36,64,0.00816728,0.00182794,0.0633934,0.1,0.00633934,0.0104471,-3.75192e-12,0.0104471,631.535,0.256536,0.999593,0,0.185536,0.110235,0.0506866,true
37,64,0.00931902,0.0019201,0.0739892,0.1,0.00739892,0.0110228,1.01659e-12,0.0110228,682.275,0.314095,0.999654,0,0.186181,0.117303,0.0477589,true
38,64,0.0102134,0.00216141,0.0805201,0.1,0.00805201,0.00600283,6.91972e-12,0.00600283,711.75,0.347584,0.998678,0,0.1879,0.132837,0.0525384,true
39,64,0.0108338,0.00230625,0.0852755,0.1,0.00852755,0.00606765,4.53269e-12,0.00606765,732.466,0.356059,0.998454,0,0.1885,0.140974,0.0555243,true
40,64,0.0114452,0.00224929,0.0919593,0.1,0.00919593,0.00122633,-6.03292e-12,0.00122633,760.63,0.376961,0.999064,0,0.189386,0.137213,0.0533759,true
41,64,0.0115095,0.00219219,0.0931734,0.1,0.00931734,0.0076008,1.89819e-12,0.0076008,765.635,0.396592,0.999451,0,0.189064,0.13361,0.0506048,true
42,64,0.0110977,0.00228743,0.0881027,0.1,0.00881027,0.0087685,-2.56101e-12,0.0087685,744.51,0.382282,0.998596,0,0.188884,0.138655,0.0569385,true
43,64,0.0105595,0.00226233,0.0829714,0.1,0.00829714,0.0081119,-9.60078e-12,0.0081119,722.503,0.342481,0.998067,0,0.188635,0.13562,0.0596805,true
44,64,0.00979226,0.00200691,0.0778535,0.1,0.00778535,0.0101335,-9.56983e-12,0.0101335,699.866,0.319488,0.999451,0,0.18787,0.119312,0.0560488,true
45,64,0.00913149,0.00187668,0.0725481,0.1,0.00725481,0.0122305,-1.0486e-11,0.0122305,675.598,0.288671,0.999573,0,0.187159,0.109132,0.0530428,true
46,64,0.00851429,0.00197766,0.0653664,0.1,0.00653664,0.0185514,-6.27755e-12,0.0185514,641.287,0.269482,0.998962,0,0.185783,0.116061,0.058127,true
47,64,0.00815802,0.00197686,0.0618116,0.1,0.00618116,0.0147187,-9.88802e-13,0.0147187,623.606,0.234226,0.999268,0,0.185583,0.116746,0.0596997,true
48,64,0.00741003,0.00183874,0.0557129,0.1,0.00557129,0.014477,1.30201e-11,0.014477,592.043,0.199393,0.999512,0,0.184389,0.107067,0.0575365,true
49,64,0.00756051,0.00190053,0.0565998,0.1,0.00565998,0.0115365,-5.59508e-12,0.0115365,596.737,0.162516,0.999146,2.22524e-06,0.184244,0.111287,0.0562153,true
50,64,0.00717155,0.0020548,0.0511675,0.1,0.00511675,0.00807064,-6.21124e-12,0.00807064,567.378,0.133978,0.998271,0,0.183597,0.122043,0.0598062,true
51,64,0.00698186,0.00204193,0.0493993,0.1,0.00493993,0.00674151,9.64273e-12,0.00674151,557.488,0.183733,0.999125,0,0.183059,0.124282,0.0602817,true
