train_seed,init_type,sampled_dynamics_level,zero_shot,train_final_loss,train_final_p,train_final_v,train_final_w,train_invalid_rollouts,train_skipped_steps,train_nan_or_inf,dynamics_rejection_rate,mean_mass,mean_thrust_to_weight_ratio,mean_torque_to_inertia_ratio,mean_motor_tau,sampled_euler_success_mean,sampled_euler_success_std,sampled_euler_invalid_rate,sampled_euler_final_p,sampled_euler_final_v,sampled_euler_final_w,sampled_l2f_success_mean,sampled_l2f_success_std,sampled_l2f_invalid_rate,sampled_l2f_final_p,sampled_l2f_final_v,sampled_l2f_final_w,fixed_euler_success_mean,fixed_euler_success_std,fixed_euler_invalid_rate,fixed_euler_final_p,fixed_euler_final_v,fixed_euler_final_w,fixed_l2f_success_mean,fixed_l2f_success_std,fixed_l2f_invalid_rate,fixed_l2f_final_p,fixed_l2f_final_v,fixed_l2f_final_w,sampled_beats_old_fixed_baselines,sampled_nonzero_both
0,fixed-pretrained-zero-shot,narrow,true,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22333333333333336,0.04496912521077348,0.0,1.3545,1.6428200000000002,1.8876533333333334,0.25,0.049665548085837806,0.0,1.4290833333333335,1.6084666666666667,2.0525933333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True
1,fixed-pretrained-zero-shot,narrow,true,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36000000000000004,0.04966554808583779,0.0,1.3812300000000002,1.7471866666666667,2.46286,0.27666666666666667,0.05249338582674539,0.0,1.5011533333333336,1.9887266666666665,2.8410766666666665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True
2,fixed-pretrained-zero-shot,narrow,true,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4366666666666667,0.04921607686744467,0.0,1.1496333333333333,1.3918633333333332,1.5875199999999998,0.41,0.053541261347363346,0.0,1.2034966666666667,1.3765533333333335,1.7600566666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True
3,fixed-pretrained-zero-shot,narrow,true,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5533333333333333,0.004714045207910321,0.0,0.9783940000000001,1.0823233333333333,1.016615,0.5466666666666667,0.03091206165165232,0.0,1.002485,1.029566,1.2727033333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True
4,fixed-pretrained-zero-shot,narrow,true,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,0.04966554808583779,0.0,1.8489833333333336,2.2996933333333334,2.9470199999999998,0.15333333333333335,0.04784233364802441,0.0,2.0149133333333333,2.5784566666666664,3.0955933333333334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True
