train_seed,init_type,sampled_dynamics_level,zero_shot,train_final_loss,train_final_p,train_final_v,train_final_w,train_invalid_rollouts,train_skipped_steps,train_nan_or_inf,dynamics_rejection_rate,mean_mass,mean_thrust_to_weight_ratio,mean_torque_to_inertia_ratio,mean_motor_tau,sampled_euler_success_mean,sampled_euler_success_std,sampled_euler_invalid_rate,sampled_euler_final_p,sampled_euler_final_v,sampled_euler_final_w,sampled_l2f_success_mean,sampled_l2f_success_std,sampled_l2f_invalid_rate,sampled_l2f_final_p,sampled_l2f_final_v,sampled_l2f_final_w,fixed_euler_success_mean,fixed_euler_success_std,fixed_euler_invalid_rate,fixed_euler_final_p,fixed_euler_final_v,fixed_euler_final_w,fixed_l2f_success_mean,fixed_l2f_success_std,fixed_l2f_invalid_rate,fixed_l2f_final_p,fixed_l2f_final_v,fixed_l2f_final_w,sampled_beats_old_fixed_baselines,sampled_nonzero_both
0,fixed-pretrained,medium,false,90.5778,0.765188,0.818136,0.731467,0,0,false,0,0.0299386,1.76522,470.467,0.177907,0.7033333333333333,0.0579271573232759,0.0,0.8264869999999999,0.5769446666666667,0.6152546666666666,0.7000000000000001,0.05715476066494083,0.0,0.8462536666666667,0.6143040000000001,1.0199573333333334,0.26333333333333336,0.016996731711975965,0.0,1.35424,0.860883,0.39409099999999997,0.25666666666666665,0.026246692913372713,0.0,1.3788866666666666,0.8750106666666667,0.5936516666666667,True,True
1,fixed-pretrained,medium,false,156.21,0.886277,0.834171,1.1987,0,0,false,0,0.0286436,1.74392,500.648,0.155281,0.6233333333333334,0.06018490028422596,0.0,0.8934966666666666,0.8058193333333333,1.3083266666666666,0.59,0.05354126134736337,0.0,0.9569106666666666,0.8972476666666666,1.92506,0.25666666666666665,0.01885618083164127,0.0,1.3933033333333331,0.973884,1.0573466666666667,0.22999999999999998,0.016329931618554522,0.0,1.46122,1.0660133333333333,1.7375333333333334,True,True
2,fixed-pretrained,medium,false,190.523,1.17806,1.29359,0.484482,0,0,false,0,0.0307312,1.72101,397.047,0.141599,0.49333333333333335,0.07586537784494025,0.0,1.0272326666666667,1.4790133333333333,0.963067,0.44,0.058878405775518984,0.0,1.12168,1.5871133333333332,1.120577,0.2833333333333334,0.0339934634239519,0.0,1.48192,1.4428166666666666,0.6687656666666667,0.21,0.008164965809277256,0.0,1.6019833333333333,1.6557533333333332,0.8488866666666667,True,True
3,fixed-pretrained,medium,false,174.412,0.877579,1.44207,0.899045,0,0,false,0,0.0301255,1.72383,370.549,0.156397,0.5433333333333333,0.05734883511361752,0.0,1.0383246666666668,1.0558633333333332,0.7126503333333334,0.48666666666666664,0.0339934634239519,0.0,1.1100166666666667,1.0735133333333333,0.7937406666666668,0.31666666666666665,0.028674417556808735,0.0,1.3934766666666667,0.9832186666666667,0.42018533333333336,0.24333333333333332,0.030912061651652348,0.0,1.46782,1.0366600000000001,0.4676626666666667,True,True
4,fixed-pretrained,medium,false,166.19,0.709569,1.58565,0.701875,0,0,false,0,0.0335934,1.68227,438.715,0.143385,0.4166666666666667,0.046427960923947055,0.0,1.1960899999999999,1.6814099999999998,1.4208066666666666,0.37999999999999995,0.035590260840104374,0.0,1.3980333333333335,1.94665,1.80657,0.3,0.008164965809277268,0.0,1.53047,1.3955733333333333,1.1839833333333332,0.2333333333333333,0.01247219128924647,0.0,1.7729633333333332,1.7869733333333333,1.5962033333333334,True,True
