train_seed,eval_model,train_first_loss,train_final_loss,train_loss_reduction,train_final_p,train_final_v,train_final_w,applied_steps,skipped_steps,invalid_rollouts,nan_or_inf,eval_count,mean_success,std_success,min_success,max_success,mean_final_p,mean_final_v,mean_final_w,mean_invalid_or_nan_rate,beats_success_baseline,checkpoint_path
0,euler,1056.45,132.695,923.755,1.19133,0.771525,0.587346,6000,0,0,false,3,0.433333,0.00942809,0.42,0.44,1.23295,0.727639,0.994368,0,true,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed0_policy.bin
0,l2f,1056.45,132.695,923.755,1.19133,0.771525,0.587346,6000,0,0,false,3,0.403333,0.0169967,0.38,0.42,1.31597,0.859992,1.23737,0,true,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed0_policy.bin
1,euler,1513.71,6296.54,-4782.83,3.5796,5.95773,9.69578,6000,0,0,false,3,0,0,0,0,5.58572,8.83271,5.77791,0,false,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed1_policy.bin
1,l2f,1513.71,6296.54,-4782.83,3.5796,5.95773,9.69578,6000,0,0,false,3,0,0,0,0,5.68248,9.18101,5.95081,0,false,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed1_policy.bin
2,euler,1614.79,204.475,1410.32,1.16132,1.05014,1.42149,6000,0,0,false,3,0.17,0.0216025,0.15,0.2,1.677,1.40924,1.49802,0,true,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed2_policy.bin
2,l2f,1614.79,204.475,1410.32,1.16132,1.05014,1.42149,6000,0,0,false,3,0.14,0.0408248,0.09,0.19,1.78164,1.65758,1.94389,0,true,C:\Users\A\Desktop\rl-tools\diffphys\rl-tools\runs\diff_pre_training\fixed_vstrong_multiseed\checkpoints\fixed_vstrong_seed2_policy.bin
