teacher_count,condition,train_seed,eval_domain,eval_seed,success_rate,mean_final_position_norm,mean_final_velocity_norm,mean_final_angular_velocity_norm,invalid_or_nan_rate,mean_action_norm,skipped_updates,training_nan_inf,checkpoint
8,scratch,1,narrow,10002,0,7.62485,12.4864,9.1785,0,0.0985646,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_1/checkpoint.h5
8,scratch,1,medium,10000,0,7.06783,11.7719,8.80461,0,0.0905587,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_1/checkpoint.h5
8,scratch,1,medium,10001,0,7.16129,11.8203,8.89082,0,0.093182,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_1/checkpoint.h5
8,scratch,1,medium,10002,0,7.07744,11.8102,8.70348,0,0.0955493,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,fixed,10000,0,4.21501,5.76993,1.6325,0,0.385047,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,fixed,10001,0,4.11729,5.68116,1.56095,0,0.378592,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,fixed,10002,0,4.10065,5.65797,1.60024,0,0.378044,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,narrow,10000,0,3.88595,5.28827,1.56403,0,0.373302,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,narrow,10001,0,3.93249,5.37489,1.67406,0,0.371897,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,narrow,10002,0,3.917,5.3386,1.75389,0,0.375218,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,medium,10000,0,3.5949,4.80053,1.56119,0,0.360995,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,medium,10001,0,3.69518,4.96731,1.70193,0,0.362014,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,diff_init,1,medium,10002,0,3.54576,4.83443,1.64526,0,0.355695,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_1/checkpoint.h5
8,scratch,2,fixed,10000,0,7.6274,12.1179,33.6452,0,0.159458,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,fixed,10001,0,7.50511,12.0026,31.8677,0,0.157584,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,fixed,10002,0,7.41221,11.8457,32.1208,0,0.155052,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,narrow,10000,0,7.46129,12.0075,30.1612,0,0.14587,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,narrow,10001,0,7.41922,11.9079,28.2294,0,0.143183,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,narrow,10002,0,7.50212,11.9636,29.0085,0,0.143627,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,medium,10000,0,7.395,11.9102,29.1205,0,0.145214,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,medium,10001,0,7.34965,11.8236,26.9089,0,0.141292,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,scratch,2,medium,10002,0,7.15227,11.5939,27.4281,0,0.144981,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/scratch/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,fixed,10000,0,4.22047,5.78034,1.62523,0,0.383252,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
8,diff_init,2,fixed,10001,0,4.12247,5.69104,1.55354,0,0.376801,0,0,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/teacher_cost_pilot/mini_teachers_2026-06-02/diff_init/teachers_8/seed_2/checkpoint.h5
