train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
2,True,1614.79,114.437,1500.353,False,0.873717,0.821642,0.967152,12000,0,0,False,0.49333333333333335,0.016996731711975965,0.47,0.51,1.1186166666666666,0.8710106666666666,1.28149,0.0,0.4666666666666667,0.02054804667656325,0.44,0.49,1.2249166666666667,1.0278413333333334,1.5234266666666667,0.0,True,True,True,0.0,0.0,0.98875,0.263382,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
3,True,10908.5,815.946,10092.554,False,1.26936,2.25908,3.40876,12000,0,0,False,0.30666666666666664,0.05436502143433363,0.23,0.35,1.57443,1.7764566666666666,3.7243033333333333,0.0,0.19666666666666666,0.03299831645537222,0.15,0.22,1.8142,2.35267,4.891473333333333,0.0,True,True,True,0.0,0.0,0.988,0.2802805,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
6,True,5999.68,911.557,5088.1230000000005,False,2.23204,2.1449,2.41173,12000,0,0,False,0.06333333333333334,0.01699673171197595,0.04,0.08,2.0835466666666664,2.6546833333333333,2.981803333333333,0.0,0.03666666666666667,0.020548046676563254,0.01,0.06,2.2082366666666666,2.7596333333333334,3.001576666666667,0.0,False,False,False,0.0673828,0.0005,0.9869166666666667,0.2715515,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
7,True,3030.59,852.964,2177.626,False,0.665394,1.19435,5.42054,12000,0,0,False,0.29333333333333333,0.02494438257849294,0.26,0.32,1.5447033333333333,2.21477,4.50599,0.0,0.11666666666666667,0.01247219128924647,0.1,0.13,2.1542066666666666,3.9196166666666667,5.85171,0.0,True,True,True,0.0,0.0,0.9731666666666666,0.270162,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
9,True,5486.16,274.518,5211.642,False,1.5129,0.982139,1.30563,12000,0,0,False,0.27666666666666667,0.03399346342395189,0.23,0.31,1.57769,1.0801666666666667,1.2989866666666667,0.0,0.22666666666666666,0.02357022603955159,0.21,0.26,1.7013666666666667,1.2696833333333333,1.4911533333333333,0.0,True,True,True,0.0,0.0,0.9814166666666667,0.2718115,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
