step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,32,0.0275422,0.00139898,0.261433,0.1,0.0261433,0.0764539,-8.64772e-11,0.0764539,370.224,0.0442736,1,0,0.194274,0.0641986,0.0302587,true
1,32,0.0275426,0.00139179,0.261508,0.1,0.0261508,0.0789878,7.77494e-11,0.0789878,370.278,0.0297403,1,0,0.194233,0.0636197,0.030233,true
2,32,0.0275412,0.00138953,0.261517,0.1,0.0261517,0.0795594,2.86832e-12,0.0795594,370.284,0.0465015,1,0,0.194214,0.0634428,0.0302174,true
3,32,0.0275347,0.00139461,0.261401,0.1,0.0261401,0.0771675,-1.10995e-11,0.0771675,370.202,0.017232,1,0,0.194231,0.0638639,0.0302165,true
4,32,0.0275305,0.00139855,0.26132,0.1,0.026132,0.0752969,2.78815e-11,0.0752969,370.144,0.0458888,1,0,0.194243,0.0641908,0.0302121,true
5,32,0.0275288,0.00139447,0.261344,0.1,0.0261344,0.0765495,-1.29621e-11,0.0765495,370.161,0.0184485,1,0,0.194218,0.0638585,0.0301894,true
6,32,0.0275288,0.00138952,0.261392,0.1,0.0261392,0.0782283,1.60751e-11,0.0782283,370.196,0.0383861,1,0,0.19419,0.0634489,0.0301633,true
7,32,0.0275248,0.00139066,0.261342,0.1,0.0261342,0.0775046,-9.60113e-11,0.0775046,370.16,0.0267696,1,0,0.194195,0.063535,0.0301494,true
8,32,0.0275197,0.00139516,0.261246,0.1,0.0261246,0.075492,-1.83538e-11,0.075492,370.092,0.0293101,1,0,0.194216,0.0638928,0.0301423,true
9,32,0.027517,0.00139499,0.26122,0.1,0.026122,0.0753235,-3.99343e-11,0.0753235,370.074,0.0313263,1,0,0.194215,0.0638675,0.0301244,true
10,32,0.0275163,0.00139025,0.26126,0.1,0.026126,0.0769441,2.96387e-11,0.0769441,370.102,0.0218419,1,0,0.194191,0.0634684,0.0300966,true
11,32,0.0275146,0.00138841,0.261262,0.1,0.0261262,0.0774015,-3.40298e-11,0.0774015,370.103,0.0327963,1,0,0.19418,0.0633106,0.0300761,true
12,32,0.0275097,0.00139141,0.261183,0.1,0.0261183,0.0758806,-8.57499e-11,0.0758806,370.048,0.0169231,1,0,0.19419,0.0635526,0.0300672,true
13,32,0.0275058,0.00139363,0.261122,0.1,0.0261122,0.0746575,1.06646e-11,0.0746575,370.004,0.031834,1,0,0.194196,0.0637338,0.0300573,true
14,32,0.0275036,0.00139092,0.261127,0.1,0.0261127,0.0753434,4.40847e-11,0.0753434,370.008,0.0168853,1,0,0.194176,0.0635127,0.0300372,true
15,32,0.0275022,0.00138779,0.261144,0.1,0.0261144,0.0762087,3.16219e-11,0.0762087,370.02,0.0278175,1,0,0.194154,0.0632564,0.0300158,true
16,32,0.0274986,0.00138866,0.261099,0.1,0.0261099,0.0754812,7.71202e-11,0.0754812,369.988,0.0198214,1,0,0.194152,0.0633292,0.0300031,true
17,32,0.0274943,0.0013913,0.26103,0.1,0.026103,0.0740835,-7.20958e-11,0.0740835,369.939,0.0233793,1,0,0.19416,0.0635458,0.0299934,true
18,32,0.0274916,0.00139073,0.261009,0.1,0.0261009,0.0739821,3.47585e-11,0.0739821,369.924,0.0217968,1,0,0.194153,0.0634943,0.0299757,true
19,32,0.0274902,0.00138767,0.261025,0.1,0.0261025,0.0748917,-8.12236e-11,0.0748917,369.936,0.0197782,1,0,0.194136,0.0632347,0.029952,true
20,32,0.0274878,0.00138679,0.26101,0.1,0.026101,0.0749552,-5.11618e-11,0.0749552,369.925,0.0232018,1,0,0.194129,0.0631534,0.029933,true
21,32,0.027484,0.00138873,0.260952,0.1,0.0260952,0.0738878,4.69257e-11,0.0738878,369.884,0.0168909,1,0,0.194137,0.0633065,0.0299209,true
22,32,0.0274808,0.00138963,0.260912,0.1,0.0260912,0.0732357,-3.17021e-11,0.0732357,369.855,0.0233895,1,0,0.194139,0.0633741,0.0299069,true
23,32,0.0274789,0.00138756,0.260913,0.1,0.0260913,0.0737467,-7.17476e-12,0.0737467,369.856,0.0161455,1,0,0.194126,0.0631975,0.029887,true
24,32,0.027477,0.00138571,0.260913,0.1,0.0260913,0.0741637,-7.49067e-11,0.0741637,369.856,0.0217031,1,0,0.194112,0.0630408,0.0298682,true
25,32,0.0274737,0.00138646,0.260872,0.1,0.0260872,0.0735198,-4.37429e-11,0.0735198,369.827,0.0165536,1,0,0.194111,0.0631025,0.029856,true
