step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,128,0.0779885,3.27807e-05,0.779557,0.1,0.0779557,-0.223402,-4.93404e-11,-0.223402,1278.61,0.5,1,0,0.145061,0.0864489,0.0199469,true
1,128,0.0779349,3.27795e-05,0.779021,0.1,0.0779021,-0.222082,-1.41794e-11,-0.222082,1278.17,0.5,1,0,0.145059,0.0864451,0.019942,true
2,128,0.0779302,3.27782e-05,0.778975,0.1,0.0778975,-0.222041,3.07134e-11,-0.222041,1278.13,0.5,1,0,0.145057,0.0864387,0.0199269,true
3,128,0.0779343,3.2777e-05,0.779015,0.1,0.0779015,-0.222686,-2.27571e-12,-0.222686,1278.17,0.5,1,0,0.145053,0.086433,0.0199104,true
4,128,0.0781396,3.27759e-05,0.781069,0.1,0.0781069,-0.226051,7.70645e-12,-0.226051,1279.85,0.5,1,0,0.145051,0.0864262,0.0198916,true
5,128,0.0781751,3.27749e-05,0.781424,0.1,0.0781424,-0.226658,5.34789e-12,-0.226658,1280.14,0.316491,1,0,0.14505,0.0864213,0.0198839,true
6,128,0.0783302,3.27749e-05,0.782975,0.1,0.0782975,-0.228257,1.61671e-11,-0.228257,1281.41,0.5,1,0,0.145053,0.0864222,0.0199247,true
7,128,0.0781783,3.27751e-05,0.781456,0.1,0.0781456,-0.227008,1.38246e-11,-0.227008,1280.17,0.5,1,0,0.145056,0.0864238,0.0199621,true
8,128,0.0781529,3.27741e-05,0.781201,0.1,0.0781201,-0.226636,2.349e-11,-0.226636,1279.96,0.368477,1,0,0.145056,0.0864155,0.0199459,true
9,128,0.0780692,3.27726e-05,0.780364,0.1,0.0780364,-0.225546,6.30249e-12,-0.225546,1279.27,0.5,1,0,0.145055,0.0864001,0.0198965,true
10,128,0.0780972,3.27716e-05,0.780645,0.1,0.0780645,-0.226023,8.00776e-13,-0.226023,1279.5,0.5,1,0,0.145055,0.0863915,0.0198608,true
11,128,0.0781946,3.27711e-05,0.781618,0.1,0.0781618,-0.227476,-3.29853e-12,-0.227476,1280.3,0.283274,1,0,0.145059,0.0863854,0.0198799,true
12,128,0.0782342,3.27717e-05,0.782015,0.1,0.0782015,-0.228411,-4.73763e-11,-0.228411,1280.63,0.5,1,0,0.145064,0.0863903,0.0199599,true
13,128,0.0782067,3.27728e-05,0.78174,0.1,0.078174,-0.228045,-6.13065e-12,-0.228045,1280.4,0.5,1,0,0.145068,0.0864006,0.0200243,true
14,128,0.0781016,3.27737e-05,0.780689,0.1,0.0780689,-0.226384,5.82628e-12,-0.226384,1279.54,0.5,1,0,0.145069,0.0864093,0.0200627,true
15,128,0.0780723,3.27733e-05,0.780395,0.1,0.0780395,-0.22605,-1.40137e-11,-0.22605,1279.3,0.5,1,0,0.14507,0.0864074,0.0200666,true
16,128,0.0779131,3.27724e-05,0.778804,0.1,0.0778804,-0.223894,-3.00861e-11,-0.223894,1277.99,0.5,1,0,0.145066,0.0864062,0.0200659,true
17,128,0.0779079,3.27696e-05,0.778751,0.1,0.0778751,-0.223885,-7.17579e-12,-0.223885,1277.95,0.5,1,0,0.145063,0.0863829,0.0199983,true
18,128,0.0780079,3.27674e-05,0.779751,0.1,0.0779751,-0.225424,-3.54577e-12,-0.225424,1278.77,0.5,1,0,0.145064,0.0863604,0.0199189,true
