step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,64,0.0516565,0.000621222,0.510353,0.1,0.0510353,0.583074,-2.16335e-11,0.583074,731.535,0.5,0.748169,0,0.193851,0.441457,0.0568981,true
1,64,0.0509107,0.000614512,0.502962,0.1,0.0502962,0.575046,4.64509e-12,0.575046,726.219,0.5,0.766602,0,0.193718,0.43757,0.0566958,true
2,64,0.0498622,0.000611576,0.492506,0.1,0.0492506,0.563359,-7.14795e-12,0.563359,718.63,0.5,0.784546,0,0.193859,0.43441,0.0565624,true
3,64,0.0483789,0.000618847,0.4776,0.1,0.04776,0.545039,-3.31119e-11,0.545039,707.672,0.5,0.796753,0,0.194351,0.43442,0.0566592,true
4,64,0.046744,0.000629824,0.461142,0.1,0.0461142,0.524103,-7.90022e-11,0.524103,695.372,0.5,0.807861,0,0.194976,0.435225,0.0568034,true
5,64,0.0448872,0.000647364,0.442398,0.1,0.0442398,0.498676,-3.05131e-11,0.498676,681.093,0.5,0.819946,0,0.195787,0.437763,0.0570461,true
6,64,0.0433049,0.000664477,0.426405,0.1,0.0426405,0.475251,-7.398e-11,0.475251,668.668,0.5,0.829468,0,0.196767,0.440224,0.0572882,true
7,64,0.0417258,0.000690077,0.410358,0.1,0.0410358,0.448324,-2.32688e-11,0.448324,655.966,0.5,0.833374,0,0.19783,0.446105,0.0576972,true
8,64,0.0408208,0.000702203,0.401186,0.1,0.0401186,0.433547,-4.11895e-11,0.433547,648.594,0.5,0.839111,0,0.198369,0.44786,0.0579245,true
9,64,0.0403802,0.000707664,0.396725,0.1,0.0396725,0.425504,4.37068e-11,0.425504,644.978,0.5,0.845703,0,0.198634,0.448453,0.0580296,true
10,64,0.0402685,0.000707139,0.395614,0.1,0.0395614,0.423472,-1.00322e-10,0.423472,644.074,0.5,0.85144,0,0.1987,0.447832,0.0580339,true
11,64,0.0398899,0.00071211,0.391777,0.1,0.0391777,0.416204,-6.84497e-12,0.416204,640.943,0.5,0.8573,0,0.198933,0.448322,0.0581168,true
12,64,0.0393096,0.000723235,0.385864,0.1,0.0385864,0.40393,3.09839e-11,0.40393,636.088,0.5,0.860229,0,0.199374,0.450516,0.0583136,true
13,64,0.0386813,0.000735593,0.379457,0.1,0.0379457,0.390642,-6.21004e-11,0.390642,630.785,0.5,0.862061,0,0.199847,0.452758,0.0585206,true
14,64,0.0379825,0.000750377,0.372322,0.1,0.0372322,0.374702,-5.43059e-12,0.374702,624.826,0.5,0.863281,0,0.200413,0.455264,0.0587444,true
15,64,0.0372486,0.000769937,0.364787,0.1,0.0364787,0.35468,1.72023e-11,0.35468,618.471,0.5,0.864258,0,0.20124,0.459081,0.0590334,true
16,64,0.0365369,0.0007959,0.35741,0.1,0.035741,0.330323,-5.21534e-11,0.330323,612.186,0.5,0.861084,0,0.202159,0.464798,0.0595041,true
17,64,0.036065,0.000811217,0.352538,0.1,0.0352538,0.314771,-9.96081e-12,0.314771,607.999,0.5,0.862061,0,0.202794,0.467701,0.0597411,true
18,64,0.0356193,0.000833479,0.347858,0.1,0.0347858,0.294323,4.20984e-11,0.294323,603.95,0.5,0.859985,0,0.203594,0.472644,0.060114,true
19,64,0.035268,0.000842565,0.344254,0.1,0.0344254,0.284352,8.86206e-12,0.284352,600.813,0.5,0.861816,0,0.203942,0.47374,0.0602652,true
20,64,0.0350921,0.000847705,0.342444,0.1,0.0342444,0.277316,-3.60276e-11,0.277316,599.232,0.5,0.861572,0,0.204177,0.474298,0.0603425,true
21,64,0.0350151,0.000848,0.341671,0.1,0.0341671,0.274792,1.42614e-11,0.274792,598.555,0.5,0.862915,0,0.204247,0.473813,0.0603615,true
22,64,0.0350359,0.00084327,0.341926,0.1,0.0341926,0.276571,2.40941e-12,0.276571,598.779,0.5,0.865234,0,0.204169,0.472192,0.0602834,true
23,64,0.0349419,0.000842791,0.340991,0.1,0.0340991,0.27462,-9.40585e-12,0.27462,597.959,0.5,0.867432,0,0.204199,0.471415,0.0602759,true
24,64,0.0348592,0.000842422,0.340168,0.1,0.0340168,0.272318,4.93364e-11,0.272318,597.237,0.5,0.869507,0,0.204245,0.470553,0.0602704,true
25,64,0.0347277,0.000847379,0.338803,0.1,0.0338803,0.265377,-4.14205e-12,0.265377,596.038,0.5,0.869385,0,0.204437,0.471219,0.0603544,true
26,64,0.0346868,0.000848113,0.338387,0.1,0.0338387,0.262558,4.27658e-11,0.262558,595.671,0.5,0.869995,0,0.204514,0.47089,0.0603776,true
27,64,0.0346134,0.000844042,0.337694,0.1,0.0337694,0.263058,-2.62235e-11,0.263058,595.061,0.5,0.871948,0,0.204508,0.469067,0.0603143,true
28,64,0.0346116,0.000838374,0.337733,0.1,0.0337733,0.265034,-6.79862e-12,0.265034,595.095,0.5,0.874023,0,0.204472,0.466937,0.0602255,true
29,64,0.0345451,0.000838122,0.33707,0.1,0.033707,0.262331,-2.87283e-12,0.262331,594.511,0.5,0.874756,0,0.204574,0.46629,0.0602126,true
30,64,0.0345519,0.000833535,0.337184,0.1,0.0337184,0.263749,-5.03557e-11,0.263749,594.612,0.5,0.876221,0,0.20454,0.464506,0.0601371,true
31,64,0.0346059,0.000825351,0.337805,0.1,0.0337805,0.26832,2.13275e-11,0.26832,595.159,0.5,0.878296,0,0.204382,0.461997,0.0600034,true
32,64,0.0347229,0.000814992,0.339079,0.1,0.0339079,0.274659,5.64881e-11,0.274659,596.28,0.5,0.88147,0,0.20416,0.459158,0.0598253,true
33,64,0.0347354,0.000809219,0.339261,0.1,0.0339261,0.276865,-1.43984e-11,0.276865,596.441,0.5,0.882812,0,0.204083,0.457162,0.059732,true
34,64,0.0346782,0.000808326,0.338699,0.1,0.0338699,0.2749,1.47967e-11,0.2749,595.946,0.5,0.882324,0,0.20416,0.456307,0.0597127,true
35,64,0.0346949,0.000803343,0.338916,0.1,0.0338916,0.276482,7.16038e-12,0.276482,596.137,0.5,0.883057,0,0.204057,0.454522,0.0596232,true
36,64,0.034608,0.000802479,0.338055,0.1,0.0338055,0.274546,2.25236e-11,0.274546,595.38,0.5,0.882812,0,0.204111,0.453522,0.0596182,true
37,64,0.0344983,0.000803306,0.33695,0.1,0.033695,0.270932,-4.43215e-12,0.270932,594.405,0.5,0.881592,0,0.204247,0.452909,0.0596191,true
38,64,0.0344899,0.000800186,0.336897,0.1,0.0336897,0.271047,-5.21039e-11,0.271047,594.359,0.5,0.881592,0,0.20422,0.451551,0.0595598,true
39,64,0.0343911,0.000800839,0.335903,0.1,0.0335903,0.26783,-7.53548e-11,0.26783,593.481,0.5,0.880493,0,0.204325,0.450931,0.0595522,true
40,64,0.0342362,0.000804515,0.334316,0.1,0.0334316,0.261568,-6.19475e-11,0.261568,592.078,0.5,0.878296,0,0.204561,0.450856,0.0596105,true
41,64,0.0341499,0.000805542,0.333444,0.1,0.0333444,0.257817,7.72253e-12,0.257817,591.304,0.5,0.876831,0,0.204697,0.450235,0.0596164,true
42,64,0.0341245,0.000801507,0.33323,0.1,0.033323,0.258392,4.13429e-11,0.258392,591.115,0.5,0.877197,0,0.204668,0.448539,0.0595529,true
43,64,0.0341525,0.000796287,0.333562,0.1,0.0333562,0.260249,-1.12257e-11,0.260249,591.41,0.5,0.877808,0,0.204568,0.446692,0.0594527,true
44,64,0.0341172,0.000795482,0.333217,0.1,0.0333217,0.258022,-1.92946e-11,0.258022,591.104,0.5,0.876831,0,0.204667,0.445861,0.0594271,true
45,64,0.0340034,0.000798989,0.332044,0.1,0.0332044,0.252084,1.17956e-11,0.252084,590.062,0.5,0.874512,0,0.204944,0.445995,0.0594914,true
46,64,0.0338669,0.000806814,0.330601,0.1,0.0330601,0.24264,1.87592e-11,0.24264,588.778,0.354858,0.870728,0,0.2053,0.447143,0.059628,true
47,64,0.0337335,0.000812453,0.32921,0.1,0.032921,0.234918,6.52246e-11,0.234918,587.539,0.23697,0.867798,0,0.205603,0.447733,0.0597215,true
48,64,0.033684,0.000822902,0.328611,0.1,0.0328611,0.224161,-3.14081e-11,0.224161,587.004,0.5,0.862671,0,0.205932,0.44991,0.0599121,true
49,64,0.0335731,0.000823883,0.327492,0.1,0.0327492,0.220702,5.7275e-11,0.220702,586.004,0.5,0.861572,0,0.206043,0.449126,0.0599347,true
50,64,0.0334484,0.000825824,0.326226,0.1,0.0326226,0.215881,1.51462e-11,0.215881,584.87,0.5,0.860107,0,0.206244,0.448476,0.0599491,true
