step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
37,32,0.0576161,0.00769435,0.499218,0.1,0.0499218,0.00173518,7.9716e-11,0.00173518,511.599,0.320346,1,0,0.198167,0.385289,0.220873,true
38,32,0.057548,0.0076297,0.499183,0.1,0.0499183,0.00162659,2.68671e-11,0.00162659,511.581,0.300947,1,0,0.198162,0.384969,0.20684,true
39,32,0.057486,0.00757107,0.499149,0.1,0.0499149,0.00152337,2.33626e-11,0.00152337,511.564,0.282446,1,0,0.198158,0.38466,0.193432,true
40,32,0.0574297,0.00751801,0.499117,0.1,0.0499117,0.0014256,1.44446e-11,0.0014256,511.548,0.264867,1,0,0.198152,0.384359,0.18066,true
41,32,0.0573787,0.00747009,0.499086,0.1,0.0499086,0.00133321,8.86746e-11,0.00133321,511.532,0.248223,1,0,0.198148,0.384066,0.168538,true
42,32,0.0573325,0.00742689,0.499056,0.1,0.0499056,0.00124625,-3.12148e-11,0.00124625,511.516,0.232537,1,0,0.198143,0.383781,0.157081,true
43,32,0.0572907,0.00738801,0.499027,0.1,0.0499027,0.00116464,5.33518e-12,0.00116464,511.502,0.217827,1,0,0.198137,0.3835,0.146306,true
44,32,0.0572531,0.00735306,0.499,0.1,0.0499,0.00108834,-3.99999e-11,0.00108834,511.488,0.204108,1,0,0.198132,0.383225,0.136231,true
45,32,0.057219,0.00732167,0.498973,0.1,0.0498974,0.00101725,-9.12723e-11,0.00101725,511.474,0.191402,1,0,0.198126,0.382954,0.126875,true
46,32,0.0571883,0.00729349,0.498948,0.1,0.0498948,0.000951277,-7.74519e-11,0.000951277,511.461,0.179724,1,0,0.198121,0.382684,0.11826,true
47,32,0.0571605,0.00726817,0.498924,0.1,0.0498924,0.000890284,3.46859e-11,0.000890284,511.449,0.169084,1,0,0.198114,0.382419,0.110407,true
48,32,0.0571354,0.0072454,0.4989,0.1,0.04989,0.000834082,-3.16876e-11,0.000834082,511.437,0.159491,1,0,0.198109,0.382151,0.103332,true
49,32,0.0571127,0.00722489,0.498878,0.1,0.0498878,0.000782462,3.19748e-11,0.000782462,511.425,0.15094,1,0,0.198102,0.381888,0.0970449,true
50,32,0.0570919,0.00720634,0.498856,0.1,0.0498856,0.000735284,1.51069e-11,0.000735284,511.414,0.143418,1,0,0.198095,0.381621,0.0915439,true
51,32,0.057073,0.00718951,0.498835,0.1,0.0498835,0.000692328,9.86433e-14,0.000692328,511.403,0.136904,1,0,0.198089,0.381354,0.086812,true
52,32,0.0570556,0.00717415,0.498815,0.1,0.0498815,0.000653412,6.17012e-12,0.000653411,511.393,0.131357,1,0,0.198082,0.381085,0.0828169,true
53,32,0.0570396,0.00716003,0.498795,0.1,0.0498795,0.00061831,-8.64437e-11,0.00061831,511.383,0.126723,1,0,0.198075,0.380814,0.079512,true
54,32,0.0570246,0.00714697,0.498777,0.1,0.0498777,0.000586764,-1.18512e-11,0.000586764,511.373,0.122939,1,0,0.198067,0.38054,0.0768372,true
55,32,0.0570106,0.00713476,0.498758,0.1,0.0498758,0.000558547,-1.22636e-11,0.000558547,511.364,0.119924,1,0,0.19806,0.380264,0.0747238,true
56,32,0.0569974,0.00712326,0.498741,0.1,0.0498741,0.000533439,-1.63205e-11,0.000533439,511.355,0.117589,1,0,0.198052,0.379984,0.0730982,true
57,32,0.0569847,0.00711231,0.498724,0.1,0.0498724,0.000511239,-4.91107e-13,0.000511239,511.346,0.115847,1,0,0.198045,0.379701,0.0718849,true
58,32,0.0569725,0.00710179,0.498708,0.1,0.0498708,0.000491697,-5.54912e-12,0.000491697,511.338,0.114601,1,0,0.198037,0.379414,0.0710107,true
59,32,0.0569608,0.00709157,0.498692,0.1,0.0498692,0.000474575,6.20226e-11,0.000474575,511.33,0.113763,1,0,0.198029,0.379123,0.0704066,true
60,32,0.0569492,0.00708158,0.498676,0.1,0.0498676,0.000459684,2.80307e-11,0.000459684,511.322,0.11325,1,0,0.198021,0.378829,0.0700105,true
61,32,0.0569379,0.00707172,0.498662,0.1,0.0498662,0.000446793,-2.98792e-11,0.000446793,511.314,0.112985,1,0,0.198013,0.37853,0.0697664,true
62,32,0.0569267,0.00706193,0.498647,0.1,0.0498647,0.000435705,9.59387e-11,0.000435705,511.307,0.112903,1,0,0.198005,0.378228,0.0696277,true
63,32,0.0569155,0.00705215,0.498633,0.1,0.0498633,0.00042625,2.2994e-11,0.00042625,511.3,0.112947,1,0,0.197996,0.377923,0.0695537,true
64,32,0.0569043,0.00704233,0.49862,0.1,0.049862,0.000418262,9.46622e-11,0.000418262,511.293,0.113069,1,0,0.197988,0.377611,0.0695118,true
65,32,0.0568931,0.00703245,0.498606,0.1,0.0498606,0.000411571,1.06161e-10,0.000411571,511.286,0.113234,1,0,0.197978,0.377297,0.0694763,true
66,32,0.0568818,0.00702247,0.498594,0.1,0.0498594,0.000406023,-9.93595e-11,0.000406023,511.279,0.113409,1,0,0.19797,0.376982,0.0694271,true
67,32,0.0568705,0.00701239,0.498581,0.1,0.0498581,0.000401472,8.71769e-12,0.000401472,511.273,0.113575,1,0,0.197961,0.376659,0.0693491,true
68,32,0.0568591,0.00700218,0.498569,0.1,0.0498569,0.000397787,-5.40082e-11,0.000397787,511.267,0.113711,1,0,0.197951,0.376336,0.0692323,true
69,32,0.0568475,0.00699184,0.498557,0.1,0.0498557,0.000394809,2.44832e-11,0.000394809,511.261,0.113812,1,0,0.197942,0.37601,0.0690702,true
70,32,0.0568359,0.00698137,0.498545,0.1,0.0498545,0.000392447,-7.69818e-12,0.000392447,511.255,0.113868,1,0,0.197933,0.375678,0.0688594,true
71,32,0.0568241,0.00697077,0.498534,0.1,0.0498534,0.000390582,1.13277e-10,0.000390582,511.249,0.113877,1,0,0.197923,0.375346,0.0685996,true
72,32,0.0568123,0.00696005,0.498522,0.1,0.0498522,0.000389168,1.1022e-10,0.000389168,511.243,0.11384,1,0,0.197913,0.37501,0.0682916,true
73,32,0.0568004,0.00694922,0.498511,0.1,0.0498511,0.000388162,-3.91829e-11,0.000388162,511.237,0.113757,1,0,0.197903,0.374672,0.0679393,true
74,32,0.0567883,0.00693828,0.4985,0.1,0.04985,0.000387521,-2.97278e-11,0.000387521,511.232,0.113633,1,0,0.197893,0.374331,0.0675461,true
75,32,0.0567762,0.00692725,0.49849,0.1,0.049849,0.000387182,8.04764e-11,0.000387182,511.226,0.113474,1,0,0.197883,0.373987,0.067118,true
76,32,0.0567641,0.00691614,0.498479,0.1,0.0498479,0.000387072,-3.39373e-11,0.000387072,511.221,0.113285,1,0,0.197873,0.373643,0.0666597,true
77,32,0.0567518,0.00690495,0.498469,0.1,0.0498469,0.00038715,5.10326e-11,0.00038715,511.215,0.113072,1,0,0.197863,0.373293,0.0661779,true
78,32,0.0567396,0.00689369,0.498459,0.1,0.0498459,0.000387375,7.69818e-11,0.000387375,511.21,0.11284,1,0,0.197852,0.372944,0.0656785,true
79,32,0.0567272,0.00688239,0.498448,0.1,0.0498448,0.000387725,-2.94316e-11,0.000387725,511.205,0.112597,1,0,0.197842,0.372592,0.0651677,true
80,32,0.0567149,0.00687103,0.498438,0.1,0.0498438,0.000388195,-3.20532e-11,0.000388195,511.2,0.112347,1,0,0.197831,0.372238,0.0646508,true
81,32,0.0567025,0.00685964,0.498428,0.1,0.0498428,0.000388821,2.94054e-11,0.000388821,511.195,0.112097,1,0,0.197821,0.371883,0.0641334,true
82,32,0.0566901,0.00684822,0.498418,0.1,0.0498418,0.000389604,-3.95567e-12,0.000389604,511.19,0.11185,1,0,0.19781,0.371525,0.0636204,true
83,32,0.0566776,0.00683677,0.498409,0.1,0.0498409,0.000390526,-7.34349e-11,0.000390526,511.185,0.11161,1,0,0.1978,0.371167,0.0631161,true
84,32,0.0566652,0.00682531,0.498399,0.1,0.0498399,0.000391621,-2.69993e-11,0.000391621,511.179,0.111382,1,0,0.197789,0.370806,0.0626244,true
85,32,0.0566527,0.00681382,0.498389,0.1,0.0498389,0.000392887,1.03195e-11,0.000392887,511.174,0.111166,1,0,0.197779,0.370444,0.0621484,true
86,32,0.0566402,0.00680232,0.498379,0.1,0.0498379,0.000394345,7.51472e-11,0.000394345,511.169,0.110966,1,0,0.197768,0.370078,0.0616905,true
87,32,0.0566278,0.00679081,0.498369,0.1,0.0498369,0.000396023,1.75362e-11,0.000396023,511.164,0.110783,1,0,0.197757,0.369713,0.0612531,true
88,32,0.0566153,0.00677929,0.49836,0.1,0.049836,0.000397908,1.63187e-11,0.000397907,511.159,0.110616,1,0,0.197746,0.369345,0.0608372,true
89,32,0.0566028,0.00676775,0.49835,0.1,0.049835,0.000399991,2.03339e-11,0.000399991,511.155,0.110466,1,0,0.197735,0.368977,0.0604438,true
90,32,0.0565902,0.0067562,0.49834,0.1,0.049834,0.000402271,1.05633e-10,0.000402271,511.15,0.110333,1,0,0.197724,0.368605,0.0600731,true
91,32,0.0565777,0.00674464,0.498331,0.1,0.0498331,0.000404759,-1.36491e-11,0.000404759,511.145,0.110215,1,0,0.197713,0.368232,0.0597251,true
92,32,0.0565652,0.00673306,0.498321,0.1,0.0498321,0.000407461,7.56439e-12,0.000407461,511.14,0.110112,1,0,0.197703,0.367859,0.0593992,true
93,32,0.0565526,0.00672147,0.498311,0.1,0.0498311,0.000410433,-4.79742e-11,0.000410433,511.135,0.110022,1,0,0.197692,0.367483,0.0590946,true
94,32,0.05654,0.00670985,0.498301,0.1,0.0498301,0.000413697,-2.10606e-11,0.000413697,511.13,0.109944,1,0,0.19768,0.367105,0.0588104,true
95,32,0.0565274,0.00669821,0.498292,0.1,0.0498292,0.000417234,-2.5886e-12,0.000417234,511.125,0.109875,1,0,0.197669,0.366725,0.0585451,true
96,32,0.0565147,0.00668655,0.498282,0.1,0.0498282,0.000421056,4.53915e-13,0.000421056,511.12,0.109814,1,0,0.197658,0.366344,0.0582972,true
97,32,0.056502,0.00667485,0.498272,0.1,0.0498272,0.000425129,-4.29062e-11,0.000425129,511.114,0.109759,1,0,0.197647,0.36596,0.0580652,true
98,32,0.0564893,0.00666313,0.498262,0.1,0.0498262,0.000429451,1.1456e-11,0.000429451,511.109,0.10971,1,0,0.197635,0.365575,0.0578475,true
99,32,0.0564766,0.00665136,0.498252,0.1,0.0498252,0.000433987,-6.08152e-11,0.000433987,511.104,0.109662,1,0,0.197624,0.365188,0.0576427,true
100,32,0.0564638,0.00663956,0.498242,0.1,0.0498242,0.00043873,3.97244e-11,0.00043873,511.099,0.109615,1,0,0.197612,0.364799,0.0574488,true
101,32,0.0564509,0.00662772,0.498232,0.1,0.0498232,0.000443705,-3.91083e-11,0.000443705,511.094,0.109567,1,0,0.197602,0.364408,0.0572645,true
102,32,0.0564381,0.00661584,0.498222,0.1,0.0498222,0.000448899,1.05192e-10,0.000448899,511.089,0.109517,1,0,0.19759,0.364014,0.0570887,true
103,32,0.0564251,0.00660391,0.498212,0.1,0.0498212,0.000454315,-4.82606e-11,0.000454315,511.084,0.109465,1,0,0.197578,0.363619,0.0569196,true
104,32,0.0564121,0.00659193,0.498202,0.1,0.0498202,0.000459917,2.03973e-11,0.000459917,511.079,0.109407,1,0,0.197567,0.363221,0.0567563,true
105,32,0.0563991,0.0065799,0.498192,0.1,0.0498192,0.000465665,-9.53887e-12,0.000465665,511.073,0.109344,1,0,0.197555,0.362822,0.0565976,true
106,32,0.056386,0.00656782,0.498181,0.1,0.0498181,0.000471602,1.47934e-11,0.000471602,511.068,0.109278,1,0,0.197543,0.36242,0.0564426,true
107,32,0.0563728,0.00655568,0.498171,0.1,0.0498171,0.000477738,3.08824e-11,0.000477738,511.063,0.109203,1,0,0.197532,0.362015,0.0562905,true
