step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,128,0.0701376,3.16087e-05,0.70106,0.1,0.070106,-0.203447,5.81377e-12,-0.203447,1212.53,0.5,1,0,0.141646,0.0825253,0.0244991,true
1,128,0.0702508,3.16055e-05,0.702192,0.1,0.0702192,-0.205687,2.07024e-11,-0.205687,1213.51,0.5,1,0,0.141631,0.0825157,0.024556,true
2,128,0.0704319,3.16027e-05,0.704003,0.1,0.0704003,-0.208973,2.63682e-11,-0.208973,1215.07,0.5,1,0,0.141618,0.0825032,0.0246129,true
3,128,0.0707739,3.16008e-05,0.707423,0.1,0.0707423,-0.213902,-5.21971e-11,-0.213902,1218.02,0.5,1,0,0.141599,0.0825022,0.0246589,true
4,128,0.0711597,3.15984e-05,0.711281,0.1,0.0711281,-0.220178,-3.69632e-12,-0.220178,1221.34,0.5,1,0,0.141594,0.0824852,0.0246993,true
5,128,0.0714728,3.15971e-05,0.714412,0.1,0.0714412,-0.224633,1.43241e-11,-0.224633,1224.02,0.5,1,0,0.141575,0.0824878,0.02473,true
6,128,0.0715977,3.15951e-05,0.715661,0.1,0.0715661,-0.226572,2.58388e-12,-0.226572,1225.09,0.5,1,0,0.141565,0.0824791,0.0247658,true
7,128,0.0718094,3.15934e-05,0.717778,0.1,0.0717778,-0.229522,4.34599e-11,-0.229522,1226.9,0.5,1,0,0.141556,0.0824681,0.0247906,true
8,128,0.0718818,3.15913e-05,0.718503,0.1,0.0718503,-0.230377,5.68866e-11,-0.230377,1227.52,0.5,1,0,0.141546,0.0824584,0.0248134,true
9,128,0.0717352,3.15895e-05,0.717036,0.1,0.0717036,-0.228772,-1.29546e-11,-0.228772,1226.27,0.5,1,0,0.141535,0.0824511,0.024853,true
10,128,0.0715316,3.15868e-05,0.715,0.1,0.0715,-0.226008,-1.46964e-11,-0.226008,1224.53,0.5,1,0,0.141524,0.0824394,0.0248792,true
11,128,0.0712748,3.15828e-05,0.712432,0.1,0.0712432,-0.222539,-7.41404e-12,-0.222539,1222.33,0.5,1,0,0.141517,0.0824191,0.0249117,true
12,128,0.0712128,3.158e-05,0.711813,0.1,0.0711813,-0.221636,8.34305e-13,-0.221636,1221.79,0.5,1,0,0.141511,0.0824045,0.0249392,true
13,128,0.0709936,3.15787e-05,0.709621,0.1,0.0709621,-0.218519,-3.98387e-12,-0.218519,1219.91,0.454562,1,0,0.141504,0.0823999,0.0249759,true
14,128,0.0708019,3.15756e-05,0.707703,0.1,0.0707703,-0.215447,-2.40173e-11,-0.215447,1218.26,0.5,1,0,0.141488,0.0823926,0.0249985,true
15,128,0.070405,3.15712e-05,0.703734,0.1,0.0703734,-0.209986,-4.64347e-11,-0.209986,1214.84,0.5,1,0,0.141474,0.0823807,0.0250266,true
16,128,0.0702541,3.15687e-05,0.702225,0.1,0.0702225,-0.207586,4.99801e-11,-0.207586,1213.54,0.5,1,0,0.141464,0.0823729,0.0250509,true
17,128,0.0702008,3.15658e-05,0.701692,0.1,0.0701692,-0.206835,-2.71419e-11,-0.206835,1213.08,0.5,1,0,0.141449,0.0823665,0.0250776,true
18,128,0.0700376,3.1564e-05,0.700061,0.1,0.0700061,-0.20435,-2.93063e-12,-0.20435,1211.67,0.5,1,0,0.141434,0.0823665,0.025098,true
19,128,0.0696955,3.1561e-05,0.69664,0.1,0.069664,-0.199755,-1.00783e-11,-0.199755,1208.7,0.5,1,0,0.141419,0.0823599,0.025127,true
20,128,0.0696364,3.15591e-05,0.696049,0.1,0.0696049,-0.198487,2.27106e-11,-0.198487,1208.19,0.5,1,0,0.141407,0.0823564,0.0251431,true
21,128,0.0692124,3.15572e-05,0.691809,0.1,0.0691809,-0.193531,3.52346e-11,-0.193531,1204.5,0.5,1,0,0.141399,0.0823483,0.0251849,true
22,128,0.0688538,3.15533e-05,0.688223,0.1,0.0688223,-0.188195,2.91269e-11,-0.188195,1201.38,0.5,1,0,0.141382,0.0823391,0.0252026,true
23,128,0.0686415,3.15506e-05,0.686099,0.1,0.0686099,-0.185074,-5.09906e-12,-0.185074,1199.52,0.5,1,0,0.141373,0.0823284,0.0252376,true
24,128,0.0683376,3.15487e-05,0.68306,0.1,0.068306,-0.180549,-4.8711e-14,-0.180549,1196.86,0.5,1,0,0.141362,0.0823243,0.0252777,true
25,128,0.0680997,3.15461e-05,0.680682,0.1,0.0680682,-0.176188,-2.64128e-11,-0.176188,1194.78,0.5,1,0,0.141354,0.0823166,0.0252831,true
