step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_angular_velocity_norm_mean,finite
0,64,0.0327685,0.000242856,0.325256,0.1,0.0325256,0.109821,-4.63691e-11,0.109821,584,0.5,0.872314,0,0.195877,0.134074,0.0320466,true
1,64,0.0327164,0.000237775,0.324786,0.1,0.0324786,0.119932,-9.25377e-11,0.119932,583.578,0.5,0.877808,0,0.195684,0.131703,0.0317868,true
2,64,0.0327122,0.000234541,0.324776,0.1,0.0324776,0.125923,1.61964e-11,0.125923,583.569,0.5,0.881104,0,0.195544,0.130238,0.0316304,true
3,64,0.0325075,0.00022889,0.322786,0.1,0.0322786,0.137312,4.9125e-11,0.137312,581.778,0.5,0.887329,0,0.195333,0.127398,0.0313127,true
4,64,0.0325169,0.000224161,0.322928,0.1,0.0322928,0.147208,-5.88727e-11,0.147208,581.906,0.5,0.892212,0,0.195137,0.125092,0.0310579,true
5,64,0.032417,0.000217968,0.32199,0.1,0.032199,0.160545,-9.2384e-11,0.160545,581.061,0.5,0.898193,0,0.194873,0.121939,0.0307058,true
6,64,0.0323458,0.000213923,0.321319,0.1,0.0321319,0.169296,-1.40546e-11,0.169296,580.454,0.5,0.902222,0,0.194679,0.119866,0.0304814,true
7,64,0.0323304,0.000209955,0.321204,0.1,0.0321204,0.178132,6.66162e-11,0.178132,580.351,0.5,0.906128,0,0.194483,0.117791,0.0302499,true
8,64,0.0323942,0.00020605,0.321882,0.1,0.0321882,0.186848,-6.70568e-11,0.186848,580.963,0.5,0.9104,0,0.194304,0.115854,0.0300308,true
9,64,0.0324318,0.000203602,0.322282,0.1,0.0322282,0.191869,1.87728e-11,0.191869,581.323,0.5,0.91333,0,0.194194,0.114697,0.0299007,true
10,64,0.0324544,0.000200673,0.322538,0.1,0.0322538,0.198186,3.49096e-12,0.198186,581.554,0.5,0.916138,0,0.194036,0.113229,0.0297219,true
11,64,0.0324677,0.000199306,0.322684,0.1,0.0322684,0.200989,-3.28134e-11,0.200989,581.686,0.5,0.91748,0,0.193956,0.11253,0.0296341,true
12,64,0.0324724,0.000199178,0.322732,0.1,0.0322732,0.200835,-2.53535e-11,0.200835,581.73,0.5,0.918213,0,0.193945,0.112469,0.0296179,true
13,64,0.0324754,0.000200236,0.322752,0.1,0.0322752,0.197844,9.16699e-12,0.197844,581.747,0.5,0.917114,0,0.193998,0.113024,0.0296722,true
14,64,0.0325041,0.000201586,0.323025,0.1,0.0323025,0.194376,5.68107e-11,0.194376,581.993,0.5,0.916138,0,0.194033,0.113717,0.0297324,true
15,64,0.0325149,0.000201334,0.323136,0.1,0.0323136,0.194589,4.49769e-11,0.194589,582.093,0.5,0.916626,0,0.193996,0.113597,0.0296959,true
16,64,0.0324907,0.000201983,0.322887,0.1,0.0322887,0.192511,2.41349e-11,0.192511,581.869,0.5,0.916382,0,0.19403,0.113937,0.0297083,true
17,64,0.0324931,0.000203871,0.322892,0.1,0.0322892,0.187735,-1.39966e-11,0.187735,581.874,0.5,0.914673,0,0.194118,0.11487,0.0297881,true
18,64,0.0324111,0.000206149,0.322049,0.1,0.0322049,0.181788,-2.04054e-11,0.181788,581.114,0.5,0.911865,0,0.194228,0.115953,0.0298802,true
19,64,0.0323867,0.000209643,0.321771,0.1,0.0321771,0.173039,-1.51097e-12,0.173039,580.863,0.5,0.908569,0,0.1944,0.117709,0.0300543,true
20,64,0.0325288,0.000214958,0.323138,0.1,0.0323138,0.160028,7.04897e-12,0.160028,582.096,0.5,0.903809,0,0.194654,0.120556,0.0303514,true
