step,total_loss_mean,training_success_rate,action_saturation_ratio,hidden_dynamics_separation_ratio,rdac_actor_head_grad_norm_before_clip,rdac_actor_head_grad_norm_after_clip,mean_final_position_norm,mean_final_angular_velocity_norm
80000,0.165931,0,0,0.186077,43.9326,43.9326,1.49389,0.836136
81000,0.386801,0.25,0,0.430842,109.29,46.6945,1.41785,0.968903
82000,0.183993,0.25,0,0.16978,25.3301,25.3301,1.35276,0.862681
83000,0.899614,0.25,0.00537109,0.384288,124.006,45.4822,1.1665,4.18491
84000,0.659509,0.25,0,1.2964,42.2534,42.2534,2.94509,1.67852
85000,0.609515,1,0,0.385625,53.3483,43.8434,0.718222,0.596667
86000,0.308302,0,0.0288086,0.212813,81.9618,43.8463,1.90192,1.29699
87000,0.41165,0,0,0.262602,69.3703,45.005,1.5884,1.78206
88000,0.118037,0.25,0,0.54785,15.0261,15.0261,1.13618,0.514274
89000,0.539114,0.25,0,0.225718,73.4396,46.003,1.0931,1.12683
90000,0.262437,0,0,0.246168,46.8767,46.852,1.36987,1.22919
91000,0.314451,0.75,0.00195312,0.389232,58.5176,47.4418,0.912022,1.80842
92000,0.203255,0.75,0,0.186684,17.0999,17.0999,0.989526,1.04282
93000,0.893042,0.5,0,0.658896,147.924,46.1671,1.03589,0.48367
94000,0.223901,0.5,0,0.664312,25.6444,25.6444,1.08082,1.29276
95000,0.326725,0.5,0,0.318508,63.5896,44.8471,1.16542,0.393417
96000,0.19103,0.75,0,0.909899,8.70193,8.70193,0.565723,0.342924
97000,0.622301,0.25,0.043457,0.122792,111.801,45.6281,1.50104,1.86121
98000,0.141896,0,0,0.248104,20.844,20.844,1.403,0.570001
99000,2.09219,0,0.143555,0.479925,365.34,48.768,3.38057,3.75279
100000,0.375818,0,0.0175781,0.360766,45.2993,45.2993,1.67642,1.25992
101000,0.619332,0.5,0,0.539174,53.3227,45.6883,0.87306,0.253213
102000,0.253029,0.75,0,0.298186,12.4886,12.4886,1.26787,1.57361
103000,0.878947,0.75,0,0.241533,84.1688,47.049,0.904499,0.803269
104000,0.181782,0.75,0,0.747337,18.0769,18.0769,1.24326,0.718489
105000,0.293092,0.25,0,0.59141,58.3297,43.2223,1.18771,1.41019
106000,0.207544,0.5,0,0.19321,19.5331,19.5331,0.96843,0.902069
107000,0.94903,0,0.081543,0.117842,613.436,44.3298,2.29305,4.03747
108000,0.18867,0,0,0.31853,39.9252,39.9252,1.53896,0.744387
