step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,227.688,0.0546751,0.00467595,0.499991,0.1,0.0499991,0.0106155,-1.82193e-10,0.0106155,90.5089,0.0267129,0.892578,0,0.46393,1.21833,0.755639,0.995139,1.92225,1.0079,5.61622,0.764037,0.0400539,0.00135544,1.1434e-05,7.48366e-05,0,0,0,0,0,0,0.205546,0.107775,0.600544,0.0816986,0.00428297,0.000144937,1.22264e-06,8.00229e-06,0,0,true
1,16,500,227.688,0.0546639,0.00467383,0.4999,0.1,0.04999,0.0108875,2.01489e-10,0.0108875,90.5006,0.0266433,0.892578,0,0.463931,1.21829,0.755377,0.989072,1.92225,1.00787,5.61551,0.760585,0.040048,0.00131502,1.12153e-05,7.47622e-05,0,0,0,0,0,0,0.20564,0.107821,0.60074,0.0813664,0.00428428,0.000140679,1.1998e-06,7.99796e-06,0,0,true
2,16,500,227.688,0.0546527,0.00467175,0.49981,0.1,0.049981,0.0111582,3.79012e-11,0.0111582,90.4925,0.0265749,0.892578,0,0.463931,1.21824,0.755116,0.9831,1.92225,1.00785,5.61479,0.757202,0.040042,0.00127596,1.10043e-05,7.46893e-05,0,0,0,0,0,0,0.205731,0.107867,0.60093,0.0810406,0.00428555,0.000136561,1.17775e-06,7.99372e-06,0,0,true
