step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
0,16,500,235.111,0.055129,0.00506804,0.50061,0.1,0.050061,0.00750118,1.00858e-10,0.00750118,90.5649,0.0249623,0.816406,0,0.469022,1.28018,0.760944,1.6367,1.92321,1.05018,5.52555,1.57042,0.0491408,0.0171817,1.18672e-05,0.000388717,0,0,0,0,0,0,0.189739,0.103608,0.545137,0.154933,0.00484811,0.00169511,1.17079e-06,3.83499e-05,0,0,true
1,16,500,234.664,0.0550448,0.00508692,0.499579,0.1,0.0499579,0.00722909,-1.76209e-10,0.00722909,90.4716,0.0232586,0.785156,0,0.466283,1.34787,0.756938,1.69799,1.88982,1.12657,5.38337,1.69974,0.0531965,0.0205276,1.18737e-05,0.0006238,0,0,0,0,0,0,0.185753,0.110732,0.529138,0.16707,0.00522875,0.00201768,1.16708e-06,6.13141e-05,0,0,true
2,16,500,236.891,0.054912,0.00482086,0.500912,0.1,0.0500912,0.00947712,-3.89703e-10,0.00947712,90.5922,0.0251946,0.822266,0,0.46065,1.29189,0.722293,1.60323,1.91034,1.06509,5.06634,1.53637,0.0463946,0.0167477,1.17761e-05,0.000455728,0,0,0,0,0,0,0.198132,0.110467,0.525459,0.159345,0.00481186,0.001737,1.22137e-06,4.72662e-05,0,0,true
3,16,500,234.318,0.0549503,0.00495869,0.499916,0.1,0.0499916,0.00828114,4.49104e-10,0.00828114,90.502,0.0242731,0.849609,0,0.468198,1.28595,0.745735,1.5892,1.91013,1.051,5.38237,1.51052,0.0453064,0.017732,1.14908e-05,0.000313137,0,0,0,0,0,0,0.192605,0.105975,0.542721,0.15231,0.00456839,0.00178798,1.15866e-06,3.15745e-05,0,0,true
4,16,500,241.297,0.0549195,0.0049054,0.500141,0.1,0.0500141,0.00891068,4.31295e-11,0.00891068,90.5224,0.0240639,0.832031,0,0.484392,1.30769,0.739428,1.55315,2.01379,1.0923,5.16921,1.47148,0.0479449,0.0156995,1.05516e-05,0.000361883,0,0,0,0,0,0,0.205263,0.111337,0.52689,0.149986,0.00488695,0.00160023,1.07551e-06,3.68862e-05,0,0,true
