teacher_id,dynamics_id,checkpoint_step,logged_eval_step,logged_return_mean,logged_episode_length_mean,checkpoint
18,18,10000,0,-68.8777,30.75,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/18/0018/steps/000000000010000/checkpoint.h5
19,19,10000,0,-67.2064,31.29,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/19/0019/steps/000000000010000/checkpoint.h5
20,20,10000,0,-68.2739,30.05,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/20/0020/steps/000000000010000/checkpoint.h5
21,21,10000,0,-69.7755,27.82,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/21/0021/steps/000000000010000/checkpoint.h5
22,22,10000,0,-71.4903,28.05,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/22/0022/steps/000000000010000/checkpoint.h5
23,23,10000,0,-69.7032,29.14,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/23/0023/steps/000000000010000/checkpoint.h5
24,24,10000,0,-71.8421,28.01,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/24/0024/steps/000000000010000/checkpoint.h5
25,25,10000,0,-71.754,28.07,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/25/0025/steps/000000000010000/checkpoint.h5
26,26,10000,0,-70.5743,29.02,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/26/0026/steps/000000000010000/checkpoint.h5
27,27,10000,0,-70.4834,29.79,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/27/0027/steps/000000000010000/checkpoint.h5
28,28,10000,0,-69.068,27.96,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/28/0028/steps/000000000010000/checkpoint.h5
29,29,10000,0,-70.7274,27.93,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/29/0029/steps/000000000010000/checkpoint.h5
30,30,10000,0,-71.5689,26.99,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/30/0030/steps/000000000010000/checkpoint.h5
31,31,10000,0,-67.5118,29.94,/home/lvmingyang/raptor_diff_20260531_215150/diffphys/rl-tools/runs/mini_teachers/mini_teachers_2026-06-02/1k-experiments/mini_teachers_2026-06-02/109ed9e_foundation-policy-pre-training_dynamics-id/31/0031/steps/000000000010000/checkpoint.h5
