step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
12,16,500,239.583,0.0103829,0.0055852,0.0479769,0.1,0.00479769,0.0241647,2.50882e-11,0.0241647,56.0733,0.00789216,0.912109,0.005867,0.461261,1.15721,0.720131,0.347012,1.90151,3.49046,5.38363,0.336538,0.0427479,0.0106214,0.00252081,0.00181222,0.000562244,0,0,0,0,0,0.170228,0.312474,0.481955,0.0301277,0.00382689,0.000950853,0.000225669,0.000162234,5.03333e-05,0,true
13,16,500,239.583,0.010376,0.00558512,0.0479087,0.1,0.00479087,0.0241564,-2.82351e-10,0.0241564,56.0334,0.00788456,0.912109,0.00585938,0.461262,1.15719,0.720132,0.346879,1.90151,3.49034,5.38363,0.336498,0.0427496,0.0106263,0.00252148,0.00181331,0.000563113,0,0,0,0,0,0.17023,0.312467,0.481961,0.0301245,0.0038271,0.000951302,0.000225732,0.000162334,5.04119e-05,0,true
14,16,500,239.583,0.0103691,0.00558504,0.0478406,0.1,0.00478406,0.0241596,-2.51907e-10,0.0241596,55.9936,0.00787745,0.912109,0.00588226,0.461263,1.15717,0.720132,0.346746,1.90151,3.49021,5.38363,0.336457,0.0427514,0.0106311,0.00252216,0.00181441,0.000564012,0,0,0,0,0,0.170233,0.31246,0.481969,0.0301213,0.00382731,0.000951752,0.000225796,0.000162435,5.04931e-05,0,true
15,16,500,239.583,0.0103622,0.00558496,0.0477728,0.1,0.00477728,0.0241488,-3.88682e-11,0.0241488,55.9539,0.00787026,0.912109,0.00588989,0.461264,1.15715,0.720133,0.346611,1.90151,3.49008,5.38363,0.336417,0.0427532,0.010636,0.00252283,0.00181551,0.00056489,0,0,0,0,0,0.170235,0.312453,0.481975,0.0301181,0.00382753,0.000952201,0.00022586,0.000162536,5.05724e-05,0,true
16,16,500,239.583,0.0103554,0.00558488,0.0477051,0.1,0.00477051,0.0241127,-1.09528e-10,0.0241127,55.9142,0.00786253,0.912109,0.00589752,0.461265,1.15713,0.720134,0.346475,1.90151,3.48995,5.38362,0.336376,0.0427553,0.0106409,0.00252348,0.0018166,0.000565732,0,0,0,0,0,0.170237,0.312446,0.481982,0.0301149,0.00382777,0.000952654,0.000225921,0.000162636,5.06485e-05,0,true
17,16,500,239.583,0.0103486,0.0055848,0.0476377,0.1,0.00476377,0.0240649,7.91597e-11,0.0240649,55.8747,0.00785454,0.912109,0.00588989,0.461266,1.15711,0.720134,0.346339,1.90151,3.48983,5.38362,0.336335,0.0427574,0.0106459,0.00252412,0.0018177,0.000566559,0,0,0,0,0,0.17024,0.31244,0.481988,0.0301116,0.00382802,0.000953109,0.000225981,0.000162736,5.07233e-05,0,true
18,16,500,239.583,0.0103418,0.00558472,0.0475704,0.1,0.00475704,0.0240277,-4.37139e-11,0.0240277,55.8352,0.00784698,0.912109,0.00590515,0.461266,1.15709,0.720134,0.346203,1.90151,3.4897,5.38362,0.336294,0.0427595,0.0106508,0.00252478,0.00181879,0.000567411,0,0,0,0,0,0.170242,0.312433,0.481995,0.0301084,0.00382825,0.000953562,0.000226043,0.000162836,5.08003e-05,0,true
19,16,500,239.583,0.010335,0.00558464,0.0475032,0.1,0.00475032,0.0240106,-9.84077e-11,0.0240106,55.7958,0.00783969,0.912109,0.00590515,0.461268,1.15706,0.720134,0.346069,1.90151,3.48958,5.38362,0.336253,0.0427615,0.0106556,0.00252547,0.00181989,0.000568311,0,0,0,0,0,0.170245,0.312426,0.482002,0.0301052,0.00382849,0.000954011,0.000226109,0.000162937,5.08816e-05,0,true
20,16,500,239.583,0.0103282,0.00558456,0.0474362,0.1,0.00474362,0.0240021,-1.96589e-10,0.0240021,55.7564,0.00783237,0.912109,0.00591278,0.461269,1.15704,0.720135,0.345935,1.90151,3.48945,5.38361,0.336213,0.0427635,0.0106605,0.00252619,0.001821,0.000569238,0,0,0,0,0,0.170247,0.312419,0.482009,0.030102,0.00382872,0.000954461,0.000226176,0.000163038,5.09653e-05,0,true
21,16,500,239.583,0.0103214,0.00558448,0.0473693,0.1,0.00473693,0.0239843,3.77476e-12,0.0239843,55.7171,0.00782475,0.912109,0.00592804,0.461269,1.15702,0.720136,0.345801,1.90151,3.48932,5.38361,0.336172,0.0427655,0.0106653,0.00252688,0.0018221,0.000570157,0,0,0,0,0,0.170249,0.312412,0.482016,0.0300987,0.00382896,0.000954908,0.000226242,0.000163139,5.10483e-05,0,true
