step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
12,16,500,238.719,0.00690223,0.00561462,0.0128761,0.1,0.00128761,0.00165052,5.07729e-10,0.00165052,20.5408,0.0732601,0.888672,0.0661774,0.454546,1.16148,0.713209,0.383207,1.86761,3.59962,5.32407,0.311809,0.0504628,0.0578205,0.00504628,0.00676423,0.00603069,0,0,0,0,0,0.166317,0.320558,0.474126,0.0277676,0.00449387,0.0051491,0.000449388,0.000602376,0.000537053,0,true
13,16,500,243.981,0.00698818,0.0055457,0.0144248,0.1,0.00144248,0.0457006,-2.05816e-10,0.0457006,21.741,0.189885,0.898438,0.0653381,0.4559,1.17504,0.703383,0.394134,1.83891,3.63103,5.19488,0.307306,0.0489212,0.0525763,0.00520664,0.00661322,0.00595243,0,0,0,0,0,0.165796,0.327373,0.46837,0.0277066,0.00441073,0.00474027,0.00046943,0.000596247,0.00053667,0,true
14,16,500,246.196,0.00683817,0.00562313,0.0121504,0.1,0.00121504,0.0204941,-1.2424e-10,0.0204941,19.9536,0.121528,0.897461,0.0626373,0.459865,1.16362,0.723974,0.384954,1.88861,3.49973,5.42536,0.313631,0.0505456,0.0510172,0.00498372,0.00669375,0.00569299,0,0,0,0,0,0.167932,0.311191,0.482415,0.0278875,0.00449443,0.00453637,0.000443144,0.000595197,0.000506212,0,true
15,16,500,242.847,0.00662442,0.00520202,0.014224,0.1,0.0014224,0.0682529,-7.87378e-11,0.0682529,21.5892,0.145472,0.926758,0.0647736,0.448626,1.11306,0.663219,0.369702,1.83905,3.34404,4.8034,0.2974,0.0445215,0.0580261,0.00498605,0.00672405,0.00588484,0,0,0,0,0,0.176763,0.321418,0.461686,0.028585,0.00427925,0.00557727,0.000479242,0.000646292,0.000565631,0,true
16,16,500,242.713,0.00711067,0.00555047,0.015602,0.1,0.0015602,-0.053853,3.85635e-11,-0.053853,22.6108,0.267074,0.908203,0.0613556,0.45975,1.12717,0.715498,0.37982,1.89483,3.40659,5.35996,0.312307,0.0506606,0.0592026,0.00491379,0.00690231,0.00557488,0,0,0,0,0,0.170691,0.306874,0.482839,0.0281334,0.00456364,0.00533312,0.000442646,0.000621778,0.000502199,0,true
17,16,500,232.42,0.00707284,0.00552444,0.015484,0.1,0.0015484,-0.0568132,-1.2516e-11,-0.0568132,22.5251,0.274814,0.899414,0.0631561,0.459676,1.15298,0.708203,0.383768,1.86917,3.48325,5.26481,0.30401,0.0502741,0.059685,0.00498127,0.00697201,0.00573066,0,0,0,0,0,0.169172,0.315258,0.476502,0.027515,0.00455015,0.0054019,0.000450839,0.000631015,0.000518664,0,true
18,16,500,240.268,0.00665857,0.0052945,0.0136407,0.1,0.00136407,0.0339394,3.0246e-10,0.0339394,21.1419,0.0493705,0.908203,0.0686646,0.456304,1.11792,0.679825,0.379441,1.87957,3.39081,4.89228,0.314831,0.0454708,0.0482373,0.00510633,0.00649244,0.00619982,0,0,0,0,0,0.177502,0.32022,0.462016,0.0297319,0.00429415,0.00455542,0.00048223,0.00061313,0.000585496,0,true
19,16,500,236.04,0.00658455,0.00546112,0.0112343,0.1,0.00112343,0.0214258,1.6884e-10,0.0214258,19.1866,0.0833452,0.907227,0.0574646,0.445291,1.12146,0.706147,0.385146,1.79536,3.44123,5.26435,0.303373,0.048634,0.0530279,0.00469245,0.00633296,0.00522837,0,0,0,0,0,0.164377,0.315067,0.481985,0.0277758,0.00445275,0.00485505,0.000429624,0.000579822,0.00047869,0,true
20,16,500,231.719,0.00678066,0.00544015,0.0134052,0.1,0.00134052,0.0402557,1.89876e-10,0.0402557,20.9585,0.150931,0.916992,0.0723572,0.452222,1.12232,0.705965,0.378901,1.83451,3.41582,5.20722,0.306835,0.0474705,0.0501095,0.00530756,0.00647396,0.00655098,0,0,0,0,0,0.168608,0.313946,0.478592,0.028201,0.00436298,0.00460553,0.000487814,0.000595017,0.000602096,0,true
21,16,500,245.715,0.00667902,0.00535456,0.0132446,0.1,0.00132446,0.048702,-5.3507e-10,0.048702,20.8327,0.148342,0.897461,0.061142,0.458304,1.13444,0.683615,0.37567,1.89399,3.4045,4.98892,0.300748,0.0476603,0.0559724,0.00504558,0.00670863,0.00558366,0,0,0,0,0,0.176857,0.317906,0.465857,0.0280833,0.00445044,0.00522661,0.000471148,0.000626441,0.000521393,0,true
