step,horizon,training_episode_steps,window_start_mean,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
12,16,500,238.843,0.00673224,0.00547112,0.0126113,0.1,0.00126113,-0.0473167,-2.19977e-10,-0.0473167,20.3285,0.174006,0.896484,0.0395355,0.459043,1.11798,0.710079,0.229413,1.88407,3.46425,5.28737,0.228547,0.0481571,0.0170816,0.00424641,0.00489344,0.00361709,0,0,0,0,0,0.172183,0.316595,0.483208,0.0208867,0.00440103,0.00156107,0.000388075,0.000447207,0.000330562,0,true
13,16,500,241.176,0.00649974,0.00537434,0.011254,0.1,0.0011254,0.0258615,-2.07061e-11,0.0258615,19.2034,0.088091,0.90625,0.0389709,0.459605,1.11357,0.698296,0.2334,1.88648,3.38247,5.16718,0.233869,0.0478816,0.0181325,0.00414796,0.00492916,0.00358614,0,0,0,0,0,0.175508,0.314687,0.480727,0.0217579,0.00445465,0.00168695,0.000385904,0.000458583,0.000333635,0,true
14,16,500,246.979,0.00671669,0.00549844,0.0121825,0.1,0.00121825,0.0349063,-4.73277e-11,0.0349063,19.9799,0.169801,0.901367,0.0400696,0.46755,1.10464,0.724284,0.235114,1.93587,3.34955,5.3955,0.237778,0.0476385,0.017807,0.00421307,0.00487182,0.00365493,0,0,0,0,0,0.176038,0.304591,0.490639,0.0216223,0.004332,0.00161928,0.000383115,0.000443019,0.00033236,0,true
15,16,500,245.219,0.0068713,0.00519279,0.0167851,0.1,0.00167851,0.0949323,-1.41416e-11,0.0949323,23.4524,0.266358,0.916992,0.040741,0.455711,1.08136,0.678386,0.226158,1.87095,3.30589,4.90207,0.231682,0.0446911,0.0174435,0.00419509,0.00492867,0.00372685,0,0,0,0,0,0.180149,0.318315,0.472008,0.0223081,0.00430318,0.00167959,0.000403934,0.000474569,0.000358849,0,true
16,16,500,240.397,0.00650288,0.00546436,0.0103852,0.1,0.00103852,-0.0099225,-1.88106e-10,-0.0099225,18.4472,0.0182961,0.886719,0.0337219,0.460408,1.13688,0.702583,0.224901,1.89163,3.56495,5.16975,0.225342,0.0473172,0.0179725,0.00388216,0.0048113,0.00307013,0,0,0,0,0,0.173088,0.3262,0.473042,0.0206193,0.00432962,0.00164452,0.000355225,0.000440243,0.000280923,0,true
17,16,500,233.439,0.00639652,0.00524748,0.0114904,0.1,0.00114904,-0.0033768,2.44911e-10,-0.0033768,19.4041,0.0956768,0.899414,0.0332642,0.458758,1.10232,0.675335,0.228235,1.90331,3.35698,4.92469,0.234412,0.0458686,0.0179835,0.00382548,0.00488703,0.00301755,0,0,0,0,0,0.181355,0.319866,0.469243,0.0223357,0.00437054,0.00171354,0.000364506,0.000465655,0.000287523,0,true
18,16,500,239.163,0.00678238,0.00534071,0.0144166,0.1,0.00144166,-0.0503751,-2.17756e-10,-0.0503751,21.7349,0.253776,0.908203,0.031662,0.451923,1.10953,0.696432,0.230802,1.84798,3.39132,5.13556,0.230379,0.0470481,0.0175319,0.00388878,0.00481725,0.00290073,0,0,0,0,0,0.173008,0.317497,0.480793,0.0215682,0.00440467,0.00164134,0.000364069,0.000450993,0.000271568,0,true
19,16,500,240.962,0.00656156,0.00535209,0.0120947,0.1,0.00120947,-0.0300301,7.28968e-11,-0.0300301,19.9077,0.146158,0.898438,0.0365753,0.443284,1.11922,0.696223,0.226569,1.78753,3.48055,5.12951,0.230225,0.0463479,0.0178806,0.00395315,0.0048499,0.00333067,0,0,0,0,0,0.166994,0.325159,0.479206,0.021508,0.00432988,0.00167043,0.000369309,0.000453085,0.000311156,0,true
20,16,500,231.946,0.00629556,0.0052042,0.0109136,0.1,0.00109136,0.047274,-1.25022e-11,0.047274,18.9108,0.113379,0.90625,0.0374603,0.446679,1.08498,0.684452,0.227257,1.81957,3.30488,4.98259,0.226385,0.0452733,0.0174636,0.00406056,0.00473336,0.00344366,0,0,0,0,0,0.174817,0.31752,0.478709,0.0217502,0.00434969,0.00167784,0.000390124,0.000454764,0.000330854,0,true
21,16,500,247.181,0.0064898,0.00541172,0.0107808,0.1,0.00107808,0.0304668,1.13451e-10,0.0304668,18.7954,0.11525,0.910156,0.0460205,0.458223,1.10165,0.710576,0.228881,1.88707,3.34071,5.28601,0.231795,0.0474914,0.0170623,0.00429528,0.00486738,0.00414645,0,0,0,0,0,0.17435,0.308655,0.488385,0.021416,0.00438783,0.00157642,0.00039685,0.000449707,0.000383099,0,true
