step,horizon,loss,diff_rollout_loss_scaled,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,success_rate_batch,action_saturation_rate,final_position_norm_mean,final_velocity_norm_mean,final_attitude_error_mean,final_angular_velocity_norm_mean,loss_position_mean,loss_velocity_mean,loss_attitude_mean,loss_angular_velocity_mean,loss_linear_acceleration_mean,loss_angular_acceleration_mean,loss_action_magnitude_mean,loss_action_smoothness_mean,loss_saturation_mean,loss_terminal_mean,loss_terminal_position_mean,loss_terminal_velocity_mean,loss_terminal_attitude_mean,loss_terminal_angular_velocity_mean,ratio_position,ratio_velocity,ratio_attitude,ratio_angular_velocity,ratio_linear_acceleration,ratio_angular_acceleration,ratio_action_magnitude,ratio_action_smoothness,ratio_saturation,ratio_terminal,finite
11,16,0.0331978,0.000104577,0.330932,0.1,0.0330932,0.00295484,-5.59628e-11,0.00295484,294.537,0.00282696,0.886597,0,0.0275904,0.0572452,0.0393962,0.0279663,0.00641983,0.011759,0.0175843,0.00049436,0.000142613,5.61134e-06,0.000156612,1.49021e-05,0,0.172578,0.00799385,0.135105,0.0263864,0.00309268,0.0306941,0.0562214,0.0840728,0.00236361,0.000681853,2.68286e-05,0.000748784,7.1249e-05,0,0.82512,true
12,16,0.0331963,0.000104575,0.330918,0.1,0.0330918,0.00293616,7.53057e-11,0.00293616,294.53,0.00278095,0.886597,0,0.0275904,0.0572445,0.0393957,0.0279668,0.00641982,0.0117586,0.017584,0.000494456,0.000142596,5.6142e-06,0.0001566,1.48612e-05,0,0.172573,0.00799382,0.135101,0.0263857,0.00309282,0.0306949,0.0562209,0.0840739,0.00236413,0.00068179,2.6843e-05,0.000748749,7.10552e-05,0,0.82512,true
13,16,0.0331949,0.000104572,0.330903,0.1,0.0330903,0.002939,1.16401e-11,0.002939,294.524,0.00284113,0.886597,0,0.0275903,0.0572436,0.0393951,0.0279672,0.00641981,0.0117582,0.0175838,0.00049455,0.00014258,5.61707e-06,0.000156589,1.48204e-05,0,0.172568,0.00799378,0.135096,0.026385,0.00309296,0.0306956,0.0562206,0.0840751,0.00236464,0.000681732,2.68574e-05,0.000748715,7.08621e-05,0,0.825118,true
14,16,0.0331934,0.000104569,0.330888,0.1,0.0330888,0.0029186,-8.27664e-11,0.0029186,294.517,0.00277882,0.886597,0,0.0275902,0.0572427,0.0393945,0.0279678,0.00641979,0.0117578,0.0175836,0.000494646,0.000142563,5.61994e-06,0.000156578,1.47798e-05,0,0.172564,0.00799377,0.135092,0.0263843,0.00309309,0.0306963,0.0562203,0.0840762,0.00236516,0.000681667,2.68719e-05,0.000748679,7.06699e-05,0,0.825117,true
15,16,0.0331919,0.000104567,0.330874,0.1,0.0330874,0.00291955,-4.68201e-11,0.00291955,294.511,0.0028303,0.886597,0,0.0275901,0.0572417,0.0393939,0.0279682,0.00641979,0.0117574,0.0175834,0.000494742,0.000142546,5.62283e-06,0.000156566,1.47395e-05,0,0.172559,0.00799375,0.135088,0.0263836,0.00309323,0.0306971,0.0562197,0.0840774,0.00236568,0.000681606,2.68863e-05,0.000748642,7.04788e-05,0,0.825114,true
16,16,0.0331905,0.000104564,0.330859,0.1,0.0330859,0.00290713,-6.89475e-11,0.00290713,294.504,0.00280289,0.886597,0,0.0275902,0.0572407,0.0393933,0.0279687,0.00641978,0.011757,0.0175832,0.000494839,0.00014253,5.62572e-06,0.000156555,1.46993e-05,0,0.172554,0.00799371,0.135084,0.0263828,0.00309338,0.0306979,0.0562194,0.0840785,0.0023662,0.000681543,2.69009e-05,0.000748608,7.02887e-05,0,0.825111,true
17,16,0.033189,0.000104561,0.330845,0.1,0.0330845,0.00289715,4.17231e-11,0.00289715,294.498,0.00279038,0.886719,0,0.02759,0.0572398,0.0393928,0.0279692,0.00641977,0.0117566,0.0175829,0.000494935,0.000142514,5.62856e-06,0.000156544,1.46594e-05,0,0.172549,0.00799368,0.13508,0.0263821,0.00309352,0.0306986,0.0562188,0.0840797,0.00236672,0.000681484,2.69151e-05,0.000748577,7.00998e-05,0,0.82511,true
18,16,0.0331875,0.000104559,0.33083,0.1,0.033083,0.00289767,-2.97343e-11,0.00289767,294.491,0.00283174,0.886719,0,0.02759,0.057239,0.0393922,0.0279697,0.00641975,0.0117562,0.0175827,0.000495032,0.000142498,5.63142e-06,0.000156533,1.46197e-05,0,0.172544,0.00799366,0.135076,0.0263813,0.00309366,0.0306993,0.0562185,0.0840808,0.00236725,0.000681427,2.69295e-05,0.000748543,6.99114e-05,0,0.825108,true
19,16,0.0331861,0.000104556,0.330815,0.1,0.0330815,0.00288039,-3.7272e-11,0.00288039,294.485,0.0027807,0.886719,0,0.0275899,0.0572381,0.0393915,0.0279703,0.00641975,0.0117559,0.0175825,0.00049513,0.000142482,5.63425e-06,0.000156522,1.45801e-05,0,0.172539,0.00799365,0.135072,0.0263806,0.00309382,0.0307001,0.0562181,0.0840818,0.00236778,0.000681368,2.69438e-05,0.000748509,6.97242e-05,0,0.825106,true
20,16,0.0331846,0.000104553,0.330801,0.1,0.0330801,0.00288282,-1.54129e-11,0.00288282,294.478,0.0028435,0.886719,0,0.0275899,0.0572371,0.039391,0.0279708,0.00641973,0.0117555,0.0175823,0.000495225,0.000142465,5.63711e-06,0.000156512,1.45408e-05,0,0.172534,0.00799361,0.135067,0.0263799,0.00309395,0.0307008,0.0562176,0.0840829,0.0023683,0.000681306,2.69581e-05,0.000748479,6.9538e-05,0,0.825104,true
