train_seed,init_type,sampled_dynamics_level,zero_shot,train_final_loss,train_final_p,train_final_v,train_final_w,train_invalid_rollouts,train_skipped_steps,train_nan_or_inf,dynamics_rejection_rate,mean_mass,mean_thrust_to_weight_ratio,mean_torque_to_inertia_ratio,mean_motor_tau,sampled_euler_success_mean,sampled_euler_success_std,sampled_euler_invalid_rate,sampled_euler_final_p,sampled_euler_final_v,sampled_euler_final_w,sampled_l2f_success_mean,sampled_l2f_success_std,sampled_l2f_invalid_rate,sampled_l2f_final_p,sampled_l2f_final_v,sampled_l2f_final_w,fixed_euler_success_mean,fixed_euler_success_std,fixed_euler_invalid_rate,fixed_euler_final_p,fixed_euler_final_v,fixed_euler_final_w,fixed_l2f_success_mean,fixed_l2f_success_std,fixed_l2f_invalid_rate,fixed_l2f_final_p,fixed_l2f_final_v,fixed_l2f_final_w,sampled_beats_old_fixed_baselines,sampled_nonzero_both
0,scratch,narrow,false,177.502,0.870239,0.654662,1.83135,0,0,false,0,0.0299515,1.55059,435.226,0.148464,0.6,0.08041558721209878,0.0,0.9962616666666667,0.7238763333333335,1.52698,0.5366666666666666,0.04921607686744466,0.0,1.0818633333333334,0.864329,1.8009366666666669,0.4566666666666667,0.02867441755680876,0.0,1.2155566666666668,0.8374793333333334,1.2991300000000001,0.3933333333333333,0.02054804667656325,0.0,1.2970566666666665,0.9651583333333335,1.5300633333333333,True,True
1,scratch,narrow,false,4861.91,3.07963,5.63481,9.1688,0,0,false,0,0.0299604,1.52224,487.74,0.154157,0.05666666666666667,0.01885618083164127,0.0,3.074123333333333,5.073526666666667,5.053383333333334,0.03,0.008164965809277261,0.0,3.35901,5.731813333333334,5.842443333333333,0.04666666666666667,0.009428090415820631,0.0,3.155723333333333,4.94732,5.027126666666667,0.023333333333333334,0.012472191289246471,0.0,3.4561933333333332,5.611439999999999,5.2635700000000005,False,True
2,scratch,narrow,false,478.653,1.16195,1.4435,2.35949,0,0,false,0,0.0316398,1.574,466.533,0.151135,0.47333333333333333,0.03771236166328254,0.0,1.21696,1.1019013333333334,1.7948833333333336,0.41,0.043204937989385746,0.0,1.35658,1.4180933333333332,2.284216666666667,0.35000000000000003,0.053541261347363346,0.0,1.4294933333333333,1.2705866666666668,1.5484733333333331,0.2966666666666667,0.054365021434333645,0.0,1.5735433333333333,1.59284,1.98663,True,True
3,scratch,narrow,false,428.702,1.38711,1.26629,2.85266,0,0,false,0,0.0307017,1.53865,452.541,0.155612,0.33,0.05099019513592784,0.0,1.3048033333333333,1.2537200000000002,3.012093333333333,0.24,0.032659863237109045,0.0,1.4101133333333333,1.3948600000000002,3.312366666666667,0.25333333333333335,0.05734883511361752,0.0,1.5203833333333332,1.3982700000000001,2.859113333333333,0.17333333333333334,0.061824123303304696,0.0,1.6396833333333334,1.6076033333333335,3.0976966666666663,True,True
4,scratch,narrow,false,147.883,1.08675,0.686107,1.3616,0,0,false,0,0.0318128,1.53125,469.16,0.14927,0.36000000000000004,0.05099019513592785,0.0,1.5912866666666667,1.33932,2.01475,0.32666666666666666,0.05557777333511022,0.0,1.7431366666666666,1.5600533333333333,2.2952433333333335,0.19333333333333333,0.033993463423951896,0.0,1.7964266666666668,1.5042966666666668,1.8887466666666668,0.15,0.03741657386773942,0.0,1.9522466666666667,1.7606766666666667,2.138856666666667,True,True
