train_seed,status_complete,first_loss,final_loss,loss_reduction,loss_increased_flag,final_train_p,final_train_v,final_train_w,total_applied_steps,total_skipped_steps,total_invalid_rollouts,any_nan_or_inf,euler_success_mean,euler_success_std,euler_success_min,euler_success_max,euler_final_p_mean,euler_final_v_mean,euler_final_w_mean,euler_invalid_or_nan_rate_mean,l2f_success_mean,l2f_success_std,l2f_success_min,l2f_success_max,l2f_final_p_mean,l2f_final_v_mean,l2f_final_w_mean,l2f_invalid_or_nan_rate_mean,beats_euler_baseline,beats_l2f_baseline,beats_both_baselines,action_saturation_median,action_saturation_high_fraction,actor_grad_clip_fraction,actor_grad_scale_median,early_divergence_flag,curriculum_collapse_flag,failure_type,failure_reason_short
1,True,1513.71,5519.54,-4005.83,True,4.17008,9.77583,4.59084,6000,0,0,False,0.0,0.0,0.0,0.0,3.984453333333333,7.792096666666667,6.142493333333333,0.0,0.0,0.0,0.0,0.0,4.491056666666666,8.74426,5.86435,0.0,False,False,False,0.0,0.0,1.0,0.002648165,True,True,TYPE_A_EARLY_DIVERGENCE,loss increased early and both eval models have near-zero success
2,True,1614.79,1886.09,-271.29999999999995,True,2.00983,4.71609,4.57102,6000,0,0,False,0.01,0.008164965809277261,0.0,0.02,3.0678133333333335,5.024523333333334,4.8771233333333335,0.0,0.0033333333333333335,0.004714045207910317,0.0,0.01,3.3914400000000002,5.66534,5.28963,0.0,False,False,False,0.0,0.0,1.0,0.0020025299999999998,True,True,TYPE_A_EARLY_DIVERGENCE,loss increased early and both eval models have near-zero success
3,True,10908.5,202.857,10705.643,False,0.903873,0.401882,2.20236,6000,0,0,False,0.53,0.037416573867739396,0.49,0.58,1.0552566666666667,0.6696556666666666,2.36769,0.0,0.41000000000000003,0.021602468994692862,0.39,0.44,1.18227,0.989283,3.7792,0.0,True,True,True,0.0,0.0,1.0,0.001695785,False,True,PASS_STRONG,"beats both baselines, L2F success >= 0.25, and loss decreased"
4,True,2817.89,3433.63,-615.7400000000002,True,3.05177,5.15676,5.26149,6000,0,0,False,0.14666666666666667,0.01247219128924647,0.13,0.16,2.4587166666666667,3.980296666666667,5.8149,0.0,0.09333333333333334,0.004714045207910321,0.09,0.1,2.8270666666666666,4.825396666666666,6.562436666666667,0.0,True,True,True,0.0,0.0,1.0,0.0018273349999999998,True,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
6,True,5999.68,913.325,5086.3550000000005,False,1.01011,0.682495,5.00371,6000,0,0,False,0.43,0.0374165738677394,0.39,0.48,0.8938696666666667,0.8103003333333334,4.242983333333333,0.0,0.21,0.008164965809277256,0.2,0.22,0.9794046666666667,1.0290566666666667,6.073416666666667,0.0,True,True,True,0.0,0.0,1.0,0.0015308750000000001,False,True,PASS_WEAK,beats both baselines but misses strong-pass threshold
7,True,3030.59,965.765,2064.8250000000003,False,2.22841,2.64039,3.20395,6000,0,0,False,0.1,0.0,0.1,0.1,2.686853333333333,3.98278,3.5465533333333332,0.0,0.06333333333333334,0.009428090415820635,0.05,0.07,3.14371,4.8930533333333335,4.049293333333333,0.0,False,False,False,0.0,0.0,1.0,0.00162864,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
9,True,5486.16,865.187,4620.973,False,2.81465,2.57226,1.80676,6000,0,0,False,0.06,0.021602468994692866,0.04,0.09,2.21876,2.473873333333333,1.5670833333333334,0.0,0.06333333333333332,0.020548046676563254,0.04,0.09,2.40666,2.78487,1.9178533333333334,0.0,False,False,False,0.0,0.0,1.0,0.00180068,False,True,TYPE_B_CURRICULUM_TRIGGERED_COLLAPSE,loss spiked after horizon or state curriculum changed
